fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,channel 3.5G attenuation,channel 7G attenuation,channel 14G attenuation,channel 28G attenuation,Stage 1 Region,stage 1 0.1G attenuation,stage 2 0.1G attenuation,Hard Constraint of neg2 on 0.1G Status,stage 1 3.5G attenuation,stage 2 3.5G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_maxHeight Vout_1 7G,eye_maxWidth Vout_1 7G,eye_maxHeight Vout_2 7G,eye_maxWidth Vout_2 7G,eye_maxWidth Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_2 14G,eye_maxHeight Vout_1 14G,eye_maxWidth Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_1 28G,eye_maxHeight Vout_2 28G,eye_maxHeight Vout_2 56G,eye_maxWidth Vout_2 56G,eye_maxHeight Vout_1 56G,eye_maxWidth Vout_1 56G
5.97E-06,0.0005625,1.51E-10,649.3,6.82E-13,1431,-0.0197,-6.589,-9.105,-13.18,-18.88,1,-2.775,-5.495,0,2.074,11.12,-2.258,5.359,-9.882,-5.767,-20.52,-21.63,0.3202,9.60E-11,0.09186,6.64E-11,9.50E-12,3.03E-11,0.0732,0.1895,0,0,0,0,0,0,0,0
9.14E-06,0.002422,2.23E-09,1415,2.09E-14,270,-0.02002,-6.61,-9.109,-13.17,-18.86,0,-40.72,-30.03,0,-41.34,-33.61,-40.81,-37.02,-43.55,-45.06,-50.05,-57.41,0.02309,8.58E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.96E-06,0.001013,2.08E-09,863.9,9.45E-13,243.7,-0.01961,-6.591,-9.102,-13.17,-18.88,0,-16.85,-8.401,0,-23.12,-11.29,-27,-17.91,-34.23,-29.84,-44.62,-45.78,0.8466,1.36E-10,0.4487,1.35E-10,5.76E-11,5.53E-11,0.1778,0.4822,0,0,0,0,0,0,0,0
9.76E-06,0.002243,1.73E-09,518.5,3.51E-13,1067,-0.01954,-6.604,-9.111,-13.17,-18.86,0,-32.91,-35.67,0,-38.84,-28.52,-44.17,-38.88,-52.62,-53.34,-62.69,-69.21,0.06342,1.02E-10,0.05239,7.62E-11,3.73E-12,2.82E-11,0.004021,0.01228,0,0,0,0,0,0,0,0
7.49E-06,0.001158,2.37E-09,332.5,9.84E-14,650.5,-0.01968,-6.578,-9.095,-13.18,-18.88,1,-3.669,-7.257,0,-5.847,-5.061,-4.907,-0.2158,-11,-7.89,-21.58,-23.61,0.4008,1.27E-10,0.3108,1.25E-10,5.60E-11,5.59E-11,0.2415,0.3461,0,2.14E-11,0.1338,0,0,0,0,0
4.94E-06,0.001646,9.27E-10,1309,5.16E-13,466.2,-0.01966,-6.585,-9.089,-13.16,-18.88,0,-47.82,-39.71,0,-57.36,-43.69,-56.81,-44.46,-57.22,-48.47,-60.55,-57,0.4524,1.40E-10,0.002519,1.22E-10,4.02E-11,6.56E-11,0.001334,0.3956,0,1.84E-11,0.07918,0,0,0,0,0
6.66E-06,0.001408,2.74E-09,925.8,9.88E-13,618.5,-0.01961,-6.591,-9.101,-13.17,-18.88,0,-34.68,-29.55,0,-40.78,-28.01,-44.37,-34.42,-50.78,-45.51,-59.28,-59.5,0.4708,1.20E-10,0.02705,1.07E-10,3.48E-11,4.30E-11,0.01125,0.321,0,0,0,0,0,0,0,0
4.35E-06,0.001379,3.99E-10,434.6,7.21E-13,1433,-0.01971,-6.582,-9.09,-13.17,-18.89,1,-6.751,-12.52,0,-1.194,6.452,-4.249,3.113,-10.25,-4.47,-19.62,-17.38,0.2838,1.09E-10,0.01214,5.93E-13,1.82E-11,4.41E-11,0.05872,0.2893,1.24E-12,0,0,0.01331,0,0,0,0
5.81E-06,0.0007287,1.83E-09,204.1,1.42E-13,1123,-0.01972,-6.574,-9.075,-13.17,-18.89,1,-11.84,-23.69,0,-8.788,-11.08,-7.563,-6.154,-10.87,-8.443,-18.68,-18.13,0.3647,1.42E-10,0.09401,1.36E-10,5.47E-11,6.36E-11,0.05907,0.3592,0,2.42E-11,0.209,0,0,0,0,0
4.92E-06,0.002484,1.02E-09,1346,8.17E-13,908.6,-0.01992,-6.597,-9.095,-13.17,-18.88,0,-35.91,-30.67,0,-64.63,-51.11,-61.6,-49.77,-59.99,-51.87,-62.52,-59.62,0.06841,1.09E-10,0.0001313,1.08E-10,3.74E-11,3.59E-11,6.93E-05,0.03136,0,0,0,0,0,0,0,0
1.52E-06,0.001476,1.92E-09,1071,7.67E-13,234.5,-0.01974,-6.58,-9.07,-13.13,-18.82,0,-28,-22.79,0,-33.97,-26.68,-36.4,-28.96,-40.35,-32.93,-45.69,-38.51,0.3334,1.26E-10,0.03799,1.31E-10,5.41E-11,4.88E-11,0.02463,0.1989,0,0,0,0,0,0,0,0
4.84E-06,0.0007331,2.41E-09,414.3,6.79E-13,1420,-0.01972,-6.581,-9.088,-13.17,-18.89,1,-6.428,-12.84,0,-0.1372,6.329,-2.863,3.564,-8.203,-2.641,-16.53,-13.37,0.3211,1.08E-10,0.01277,8.68E-11,5.04E-12,4.33E-11,0.0631,0.321,2.10E-12,7.50E-12,0.05766,0.01732,0,0,0,0
9.19E-06,0.00191,4.75E-10,895.1,4.66E-13,908.6,-0.01955,-6.602,-9.111,-13.17,-18.87,0,-46.19,-43.58,0,-55.35,-43.84,-58.32,-51.97,-62.74,-62.27,-68.58,-74.14,0.1985,1.07E-10,0.00269,1.07E-10,0,3.41E-11,0,0.04706,0,0,0,0,0,0,0,0
3.22E-06,0.0005921,2.15E-10,1336,9.27E-13,467.7,-0.0197,-6.581,-9.077,-13.15,-18.86,0,-9.081,-2.038,0,-14.11,-2.422,-16.79,-5.414,-21.51,-11.44,-28.9,-21.98,0.5333,1.29E-10,0.1545,1.24E-10,5.18E-11,5.44E-11,0.09302,0.3674,0,1.16E-11,0.06279,0,0,0,0,0
4.28E-06,0.001765,1.67E-09,1330,3.06E-13,1107,-0.01968,-6.583,-9.084,-13.16,-18.88,0,-51.05,-47.59,0,-54.64,-41.37,-55.2,-42.36,-56.16,-46.07,-59.12,-53.73,0.2518,1.33E-10,0.001077,1.23E-10,4.20E-11,6.12E-11,0.0006003,0.2615,0,2.35E-11,0.133,0,1.39E-05,2.40E-13,0,0
1.17E-06,0.00175,2.95E-09,415.8,1.13E-13,915.8,-0.01975,-6.579,-9.068,-13.13,-18.81,1,-11.07,-21.26,0,-14.45,-21.18,-15.8,-21.28,-18.5,-22.59,-20.86,-21.89,0.133,1.34E-10,0.05648,1.41E-10,7.01E-11,6.12E-11,0.05503,0.1045,3.47E-11,2.76E-11,0.06896,0.05631,0.05873,1.51E-11,0.01878,1.02E-11
3.89E-06,0.002429,2.02E-09,366.6,3.38E-13,1016,-0.01969,-6.581,-9.082,-13.16,-18.88,0,-14.36,-20.53,0,-12.97,-7.358,-15.28,-8.573,-20.02,-13.28,-27.79,-22.25,0.118,1.27E-10,0.05703,1.28E-10,4.71E-11,5.78E-11,0.05763,0.0861,8.59E-12,1.93E-11,0.03085,0.02502,0,0,0,0
1.92E-06,0.0008805,2.32E-09,493.6,6.75E-13,1234,-0.01975,-6.579,-9.07,-13.13,-18.83,1,-5.688,-11.22,0,-3.347,0.1134,-5.602,-1.915,-9.141,-4.982,-13.43,-7.971,0.3145,1.18E-10,0.1144,1.10E-10,4.21E-11,4.80E-11,0.1782,0.2404,0,1.63E-11,0.1027,0,0,0,0,0
4.60E-06,0.001165,2.39E-09,1123,6.52E-13,880.7,-0.01966,-6.584,-9.086,-13.16,-18.88,0,-33.73,-29.78,0,-38.98,-25.99,-41.75,-29.66,-46.62,-37.28,-53.8,-49.05,0.4252,1.23E-10,0.01663,1.17E-10,4.88E-11,5.46E-11,0.01855,0.4418,9.79E-12,1.60E-11,0.1475,0.001225,0,0,0,0
4.49E-06,0.001629,6.63E-10,466,1.22E-13,1320,-0.01969,-6.579,-9.084,-13.16,-18.88,0,-11.32,-17.3,0,-10.38,-6.778,-11.6,-4.552,-16.83,-9.991,-25.89,-22.94,0.2412,1.41E-10,0.1124,1.37E-10,5.58E-11,6.51E-11,0.07776,0.2401,1.02E-11,2.77E-11,0.1806,0.05324,0,0,0,0
9.80E-06,0.001609,2.38E-09,731.7,9.58E-13,202.1,-0.01954,-6.604,-9.111,-13.17,-18.86,0,-31.14,-22.06,0,-40.08,-29.99,-45.6,-40.39,-53.99,-54.47,-63.75,-69.99,0.4322,1.21E-10,0.08341,1.29E-10,0,0,0,0,0,0,0,0,0,0,0,0
4.59E-06,0.001865,8.45E-11,200.8,8.40E-13,1235,-0.01973,-6.58,-9.085,-13.16,-18.88,1,-11.11,-22.15,0,-3.826,-0.9616,-6.584,-3.88,-12.17,-10.8,-21.23,-23.1,0.2202,1.09E-10,0.008672,9.20E-11,1.98E-11,3.85E-11,0.03304,0.1432,0,0,0,0,0,0,0,0
1.43E-06,0.001775,4.97E-10,1189,8.92E-13,304.8,-0.01974,-6.58,-9.07,-13.13,-18.82,0,-35.75,-30.72,0,-41.7,-34.13,-44.01,-36.41,-47.48,-40.07,-51.49,-44.84,0.2762,1.28E-10,0.01232,1.31E-10,5.31E-11,4.83E-11,0.007727,0.1523,1.13E-11,0,0,0.001957,0,0,0,0
6.44E-06,0.0008075,8.79E-10,936.7,4.49E-13,1500,-0.01964,-6.589,-9.1,-13.17,-18.88,0,-12.64,-13.12,0,-14.17,-2.134,-17.89,-8.179,-24.86,-19.7,-35.18,-35.67,0.3092,1.12E-10,0.06625,9.77E-11,1.32E-11,3.77E-11,0.042,0.3149,0,0,0,0,0,0,0,0
5.19E-06,0.0022,1.08E-09,599.4,4.30E-13,525.2,-0.01965,-6.585,-9.091,-13.17,-18.88,0,-30.3,-28.09,0,-35.53,-25.24,-38.5,-28.54,-44.11,-37.15,-52.68,-50.55,0.1663,1.37E-10,0.1204,1.24E-10,4.94E-11,6.28E-11,0.08707,0.1078,2.19E-12,1.65E-11,0.01792,0.00183,0,0,0,0
9.70E-06,0.001377,2.12E-09,365,1.09E-13,879.6,-0.01965,-6.584,-9.119,-13.18,-18.87,1,-4.908,-9.452,0,-4.68,-2.113,-6.376,-1.731,-15.44,-16.06,-26.62,-32.89,0.3213,1.29E-10,0.1983,1.33E-10,4.28E-11,5.81E-11,0.09194,0.2994,0,1.31E-11,0.02249,0,0,0,0,0
3.01E-06,0.002049,1.13E-09,868.4,9.81E-13,712.2,-0.0197,-6.581,-9.076,-13.14,-18.85,0,-36.96,-34.12,0,-41.64,-31.21,-44.05,-33.75,-47.85,-38.35,-52.85,-45.61,0.2458,1.20E-10,0.01588,1.14E-10,4.36E-11,4.81E-11,0.01055,0.1597,0,1.09E-11,0.02299,0,0,0,0,0
9.11E-06,0.000984,2.70E-09,322.3,9.00E-13,444,-0.01964,-6.603,-9.118,-13.18,-18.87,1,-1.21,-2.392,0,0.007721,6.915,-5.606,-1.67,-14.09,-14.58,-24.3,-29.43,0.7026,1.21E-10,0.5727,8.92E-11,0,3.46E-11,0,0.212,0,0,0,0,0.008577,1.32E-12,0,0
9.67E-06,0.0006042,3.35E-10,1107,9.66E-13,445.4,-0.01956,-6.605,-9.112,-13.17,-18.86,0,-3.433,4.191,0,-9.811,0.2153,-15.57,-10.36,-24.52,-25.04,-35.86,-42.48,0.6165,1.15E-10,0.2241,8.70E-11,1.04E-12,2.11E-11,0.001423,0.08856,0,0,0,0,0,0,0,0
9.13E-06,0.001922,8.75E-11,461,7.33E-13,1405,-0.01958,-6.601,-9.111,-13.17,-18.87,0,-21.13,-25.68,0,-22.24,-12.52,-27.5,-22.3,-36.13,-36.59,-47.31,-53.74,0.1255,7.58E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42E-06,0.002412,3.72E-10,768.5,4.44E-13,644.4,-0.01974,-6.58,-9.07,-13.13,-18.82,0,-28.91,-30.44,0,-33.15,-30.13,-35.54,-32.36,-39.49,-36.38,-44.85,-42.19,0.1183,1.27E-10,0.05409,1.35E-10,6.02E-11,4.75E-11,0.04149,0.06568,1.86E-11,0,0,0.01452,0,0,0,0
4.25E-06,0.001743,2.67E-10,925.6,4.07E-13,1012,-0.01967,-6.583,-9.083,-13.16,-18.87,0,-38.73,-37.31,0,-44.85,-32.98,-47.28,-35.74,-51.11,-41.94,-56.4,-51.64,0.273,1.29E-10,0.01039,1.24E-10,5.12E-11,5.96E-11,0.0111,0.2794,0,1.95E-11,0.1019,0,0,0,0,0
8.65E-06,0.002388,2.37E-09,313.2,6.80E-13,13.81,-0.01954,-6.604,-9.114,-13.17,-18.87,0,-1.825,7.447,1,-10.01,-2.423,-15.25,-10.49,-23.6,-23.13,-34.26,-38.52,0.03701,8.88E-11,0.05968,7.08E-11,0,0,0,0,0,0,0,0,0,0,0,0
6.45E-06,0.002002,2.80E-09,742.2,9.33E-13,1175,-0.01962,-6.59,-9.1,-13.17,-18.88,0,-38.7,-38.21,0,-43.12,-30.71,-46.52,-36.61,-52.5,-47.03,-60.34,-60.16,0.1484,9.50E-11,0.0112,6.71E-11,7.38E-12,2.22E-11,0.0009966,0.04464,9.73E-13,0,0,0.0001855,0,0,0,0
9.25E-06,0.0007052,1.04E-10,329.1,8.98E-14,813.2,-0.01967,-6.582,-9.103,-13.17,-18.87,1,-5.323,-10.64,0,-7.178,-7.742,-7.964,-6.525,-15.98,-18.68,-27.63,-36.47,0.3766,1.31E-10,0.2391,1.33E-10,4.99E-11,5.83E-11,0.1744,0.3342,0,1.79E-11,0.06715,0,0,0,0.003069,4.96E-13
6.35E-06,0.00247,2.29E-09,1049,7.76E-13,473.2,-0.01964,-6.591,-9.1,-13.17,-18.88,0,-55.08,-47.98,0,-59.09,-45.83,-58.54,-48.15,-59.99,-54.39,-64.42,-64.44,0.06845,1.25E-10,0.0003107,1.07E-10,0,4.71E-11,0,0.03193,0,0,0,0,0,0,0,0
8.12E-06,0.001151,2.58E-09,463,3.15E-13,127.4,-0.01956,-6.599,-9.118,-13.18,-18.87,1,5.713,12.54,1,-0.856,6.55,-5.239,0.8186,-13.63,-11.91,-24.37,-27.81,0.5378,1.03E-10,1.01,1.02E-10,0,0,0,0,0,0,0,0,0,0,0,0
2.86E-06,0.00101,2.48E-10,940.8,2.66E-13,1312,-0.01971,-6.581,-9.075,-13.14,-18.85,0,-18.48,-19.22,0,-20.77,-11.35,-23.25,-13.33,-27.67,-18.36,-34.51,-27.44,0.3132,1.33E-10,0.07257,1.30E-10,5.17E-11,5.88E-11,0.07413,0.3262,1.52E-11,2.32E-11,0.193,0.038,0,0,0,0
2.76E-06,0.001982,3.41E-10,281.1,2.21E-13,42.92,-0.0197,-6.581,-9.074,-13.14,-18.85,1,0.554,1.779,1,-6,-4.76,-8.483,-7.21,-12.62,-11.33,-19.09,-18.3,0.2528,1.05E-10,0.2963,1.05E-10,0,0,0,0,0,0,0,0,0,0,0,0
4.79E-06,0.002222,1.66E-09,504.9,7.44E-14,393.4,-0.01966,-6.584,-9.087,-13.16,-18.88,0,-22.52,-20.28,0,-29.26,-25.84,-32.27,-26.79,-37.84,-30.89,-46.36,-42.68,0.085,1.14E-10,0.1095,1.32E-10,5.72E-11,3.57E-11,0.07902,0.03472,2.23E-11,0,0,0.05534,0,0,0,0
5.41E-06,0.0009455,1.08E-09,1055,4.73E-13,258.8,-0.01965,-6.586,-9.092,-13.17,-18.88,0,-22.64,-13.71,0,-29.22,-17.11,-32.35,-21.29,-38.23,-30.77,-47.39,-45.17,0.6829,1.31E-10,0.1265,1.35E-10,6.14E-11,5.66E-11,0.07167,0.505,0,1.27E-11,0.07225,0,0,0,0,0
