fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height_XY Vout_2 14G,eye_maxWidth Vout_2 14G,eye_height_XY Vout_1 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_2 14G,eye_height Vout_1 14G,eye_maxHeight Vout_1 14G,eye_width Vout_2 14G,eye_height Vout_2 14G,eye_width Vout_1 14G,eye_width_XY Vout_2 14G,eye_width_XY Vout_1 14G,eye_width_XY Vout_2 28G,eye_maxWidth Vout_2 28G,eye_height Vout_2 28G,eye_maxWidth Vout_1 28G,eye_height_XY Vout_2 28G,eye_height_XY Vout_1 28G,eye_width Vout_1 28G,eye_maxHeight Vout_1 28G,eye_width Vout_2 28G,eye_maxHeight Vout_2 28G,eye_height Vout_1 28G,eye_width_XY Vout_1 28G,eye_width_XY Vout_2 56G,eye_maxHeight Vout_2 56G,eye_height Vout_2 56G,eye_maxWidth Vout_2 56G,eye_width Vout_1 56G,eye_width Vout_2 56G,eye_height Vout_1 56G,eye_height_XY Vout_2 56G,eye_maxHeight Vout_1 56G,eye_width_XY Vout_1 56G,eye_height_XY Vout_1 56G,eye_maxWidth Vout_1 56G
5.97e-06,0.0005625,1.509e-10,649.3,6.815000000000002e-13,1431.0,-0.0197,-2.775,-5.495,-6.589,2.074,11.12,-9.105,-2.258,5.359,-13.18,-9.882,-5.767,-18.88,-20.52,-21.63,0.261,0.3202,0.3199,8.602e-11,9.596e-11,9.567e-11,0.2945,0.09186,0.08814,4.157e-11,6.641e-11,6.563e-11,2.0,2.0,0.07133,9.501e-12,0.1809,3.031e-11,0.0732,0.1221,0.1895,1.906e-12,0.04872,3.153e-11,6.993e-12,2.612e-11,3.985e-13,0.0,-0.2929,0.0,0.001865,0.002435,0.0,0.0,0.0,0.0,-0.2966,9.247e-13,3.342e-13,0.0,-0.3518,0.0,0.0,0.0,-0.2757,0.005895,0.0,2.945e-13,0.002298,0.0
9.14e-06,0.002422,2.23e-09,1415.0,2.0910000000000003e-14,270.0,-0.02002,-40.72,-30.03,-6.61,-41.34,-33.61,-9.109,-40.81,-37.02,-13.17,-43.55,-45.06,-18.86,-50.05,-57.41,-0.03283,0.02309,0.02233,6.344e-11,8.578e-11,8.568e-11,-0.0004535,0.0,4.235e-06,0.0,0.0,2.494e-11,1.0,2.0,9.355e-06,0.0,0.0001027,0.0,0.0,-0.04324,0.0,0.0,-0.0002859,0.0,1.343e-11,6.864e-13,4.788e-13,0.0,-0.0003651,0.0,4.701e-06,6.461e-05,0.0,0.0,0.0,0.0,-0.03082,1.569e-13,2.006e-13,0.0,-0.0003032,0.0,0.0,0.0,-0.02074,2.338e-06,0.0,4.354e-13,6.878e-05,0.0
6.962e-06,0.001013,2.0800000000000003e-09,863.9,9.450000000000001e-13,243.7,-0.01961,-16.85,-8.401,-6.591,-23.12,-11.29,-9.102,-27.0,-17.91,-13.17,-34.23,-29.84,-18.88,-44.62,-45.78,0.6197,0.8466,0.8097,1.335e-10,1.355e-10,1.355e-10,0.4012,0.4487,0.4482,1.335e-10,1.352e-10,1.352e-10,1.0,2.0,0.1777,5.755e-11,0.4819,5.525e-11,0.1778,0.1004,0.4822,5.394e-11,-0.06375,4.963e-11,5.714e-11,5.507e-11,1.197e-13,0.0,-0.2872,0.0,0.0002464,0.001132,0.0,0.0,0.0,0.0,-0.3938,2.847e-13,2.067e-13,0.0,-0.2178,0.0,0.0,0.0,-0.3315,0.0002263,0.0,2.859e-13,0.001051,0.0
9.759e-06,0.0022429999999999,1.729e-09,518.5,3.507e-13,1067.0,-0.01954,-32.91,-35.67,-6.604,-38.84,-28.52,-9.111,-44.17,-38.88,-13.17,-52.62,-53.34,-18.86,-62.69,-69.21,0.01093,0.06342,0.05207,8.697e-11,1.024e-10,1.023e-10,-0.0383,0.05239,0.05229,4.265e-11,7.616e-11,7.612e-11,1.0,2.0,6.347e-05,3.731e-12,0.01221,2.822e-11,0.004021,-0.03812,0.01228,-2.352e-11,-0.08586,2.757e-11,2.258e-12,2.299e-11,2.241e-13,0.0,-0.07374,0.0,0.0001715,4.806e-05,0.0,0.0,0.0,0.0,-0.04669,3.816e-13,2.174e-13,0.0,-0.04897,0.0,0.0,0.0,-0.02935,0.0001367,0.0,1.217e-13,3.549e-05,0.0
7.485e-06,0.001158,2.365e-09,332.5,9.839000000000001e-14,650.5,-0.01968,-3.669,-7.257,-6.578,-5.847,-5.061,-9.095,-4.907,-0.2158,-13.18,-11.0,-7.89,-18.88,-21.58,-23.61,0.3274,0.4008,0.3865,1.2e-10,1.265e-10,1.265e-10,0.06994,0.3108,0.3046,1.24e-10,1.245e-10,1.297e-10,2.0,2.0,0.1887,5.596e-11,0.3442,5.592e-11,0.2415,0.3077,0.3461,5.102e-11,-0.2099,5.316e-11,5.581e-11,5.585e-11,1.04e-11,0.0,-0.1806,2.135e-11,0.09425,0.1277,2.068e-11,0.1338,0.0,0.0,-0.0252,2.134e-11,2.296e-13,0.0,-0.346,0.0,0.0,0.0,-0.1907,0.0007508,0.0,3.987e-13,0.003854,0.0
4.942999999999999e-06,0.001646,9.269e-10,1309.0,5.16e-13,466.2,-0.01966,-47.82,-39.71,-6.585,-57.36,-43.69,-9.089,-56.81,-44.46,-13.16,-57.22,-48.47,-18.88,-60.55,-57.0,0.429,0.4524,0.4524,1.392e-10,1.398e-10,1.398e-10,0.0009281,0.002519,0.002124,1.146e-10,1.224e-10,1.224e-10,1.0,2.0,0.001142,4.023e-11,0.3838,6.555e-11,0.001334,0.216,0.3956,3.04e-11,0.0005161,6.374e-11,4.019e-11,6.554e-11,1.471e-13,0.0,-0.001204,1.842e-11,3.317e-06,0.07873,1.343e-11,0.07918,0.0,0.0,-0.1352,1.836e-11,1.952e-13,0.0,-0.00131,0.0,0.0,0.0,-0.1718,1.371e-05,0.0,1.383e-13,0.001253,0.0
6.66e-06,0.001408,2.74e-09,925.8,9.881e-13,618.5,-0.01961,-34.68,-29.55,-6.591,-40.78,-28.01,-9.101,-44.37,-34.42,-13.17,-50.78,-45.51,-18.88,-59.28,-59.5,0.3823,0.4708,0.4705,1.16e-10,1.196e-10,1.191e-10,0.01514,0.02705,0.02698,1.018e-10,1.074e-10,1.074e-10,1.0,2.0,0.01107,3.475e-11,0.305,4.297e-11,0.01125,0.1271,0.321,3.243e-11,-0.009136,3.944e-11,3.237e-11,4.295e-11,2.628e-13,0.0,-0.02825,0.0,0.0001752,0.001368,0.0,0.0,0.0,0.0,-0.28,4.448e-13,4.664e-13,0.0,-0.0201,0.0,0.0,0.0,-0.2524,8.889e-05,0.0,1.752e-13,0.001093,0.0
4.354e-06,0.001379,3.989e-10,434.6,7.206000000000001e-13,1433.0,-0.01971,-6.751,-12.52,-6.582,-1.194,6.452,-9.09,-4.249,3.113,-13.17,-10.25,-4.47,-18.89,-19.62,-17.38,0.2583,0.2838,0.2825,1.029e-10,1.093e-10,1.092e-10,0.392,0.01214,0.006318,6.341e-11,5.93e-13,7.148e-11,2.0,2.0,0.05393,1.817e-11,0.2723,4.406e-11,0.05872,0.1657,0.2893,1.568e-11,-0.07284,4.262e-11,1.772e-11,4.175e-11,7.732e-13,1.244e-12,-0.465,0.0,0.01255,0.004941,0.0,0.0,-9.658e-12,0.01331,-0.151,2.089e-12,4.11e-13,0.0,-0.4799,0.0,0.0,0.0,-0.2568,0.003852,0.0,1.05e-13,0.001559,0.0
5.806e-06,0.0007287,1.826e-09,204.1,1.418e-13,1123.0,-0.01972,-11.84,-23.69,-6.574,-8.788,-11.08,-9.075,-7.563,-6.154,-13.17,-10.87,-8.443,-18.89,-18.68,-18.13,0.278,0.3647,0.3575,1.415e-10,1.419e-10,1.419e-10,-0.1072,0.09401,0.07868,1.321e-10,1.36e-10,1.36e-10,2.0,2.0,0.05373,5.474e-11,0.3557,6.36e-11,0.05907,0.2421,0.3592,4.607e-11,-0.07078,5.999e-11,5.469e-11,6.36e-11,9.623e-12,0.0,-0.2661,2.424e-11,0.0235,0.209,2.047e-11,0.209,0.0,0.0,0.01632,2.423e-11,5.083e-14,0.0,-0.23,0.0,0.0,0.0,-0.2931,0.0002907,0.0,3.128e-14,0.000191,0.0
4.921e-06,0.002484,1.016e-09,1346.0,8.170000000000002e-13,908.6,-0.01992,-35.91,-30.67,-6.597,-64.63,-51.11,-9.095,-61.6,-49.77,-13.17,-59.99,-51.87,-18.88,-62.52,-59.62,0.01606,0.06841,0.05505,1.044e-10,1.091e-10,1.078e-10,-3.002e-05,0.0001313,9.869e-05,1.041e-10,1.078e-10,1.063e-10,1.0,2.0,5.074e-05,3.738e-11,0.02681,3.592e-11,6.93e-05,-0.02157,0.03136,4.191e-11,1.974e-05,3.674e-11,3.645e-11,3.559e-11,3.071e-13,0.0,-0.0002124,0.0,8.302e-07,0.000333,0.0,0.0,0.0,0.0,-0.05217,2.771e-13,5.685e-14,0.0,-0.0001561,0.0,0.0,0.0,-0.04432,2.523e-07,0.0,1.29e-13,0.0001129,0.0
