fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height_XY Vout_2 14G,eye_height_XY Vout_1 14G,eye_width Vout_2 14G,eye_height Vout_2 14G,eye_width Vout_1 14G,eye_maxHeight Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_1 14G,eye_width_XY Vout_1 14G,eye_width_XY Vout_2 14G,eye_height Vout_1 14G,eye_maxWidth Vout_1 28G,eye_height Vout_2 28G,eye_height Vout_1 28G,eye_height_XY Vout_1 28G,eye_width Vout_2 28G,eye_width Vout_1 28G,eye_maxWidth Vout_2 28G,eye_width_XY Vout_2 28G,eye_maxHeight Vout_2 28G,eye_height_XY Vout_2 28G,eye_maxHeight Vout_1 28G,eye_width_XY Vout_1 28G,eye_maxWidth Vout_1 56G,eye_height Vout_2 56G,eye_height Vout_1 56G,eye_height_XY Vout_2 56G,eye_width_XY Vout_1 56G,eye_maxHeight Vout_1 56G,eye_height_XY Vout_1 56G,eye_width Vout_1 56G,eye_maxHeight Vout_2 56G,eye_width_XY Vout_2 56G,eye_width Vout_2 56G,eye_maxWidth Vout_2 56G
3.674e-06,0.002068,4.282e-10,70.09,4.1670000000000003e-13,973.3,-0.01974,-19.86,-39.74,-6.577,-14.2,-21.91,-9.072,-15.67,-22.38,-13.14,-19.13,-25.23,-18.85,-23.94,-29.15,0.1599,0.2096,0.2096,1.242e-10,1.277e-10,1.276e-10,-0.01722,0.0186,0.01851,1.218e-10,1.279e-10,1.276e-10,2.0,2.0,0.0194,0.1609,4.152e-11,0.002143,5.72e-11,0.01941,5.845e-11,4.905e-11,0.1787,5.801e-11,4.894e-11,0.08605,1.965e-11,-0.01106,-0.0724,0.06334,6.689e-12,1.707e-11,1.149e-11,1.133e-11,0.01848,0.01632,0.06408,1.941e-11,0.0,-0.0443,-0.1159,0.0004964,1.679e-13,0.0,0.000678,0.0,0.0008458,4.572e-13,-4.678e-12,5.756e-13
1.127e-06,0.00173,1.229e-09,1131.0,6.817000000000001e-13,845.2,-0.01975,-32.37,-32.13,-6.58,-36.83,-31.87,-9.069,-39.23,-34.25,-13.13,-43.04,-38.14,-18.82,-47.88,-43.34,0.03977,0.1324,0.1041,1.15e-10,1.186e-10,1.181e-10,0.005,0.01075,0.00886,1.152e-10,1.191e-10,1.182e-10,1.0,2.0,0.005777,0.06091,4.382e-11,0.0008613,3.923e-11,0.007159,4.384e-11,4.858e-11,0.07458,4.381e-11,4.85e-11,-0.002259,0.0,-0.003202,-0.05593,0.005902,0.0,0.0,0.0,8.2e-12,0.0,0.001318,0.0,6.022e-12,0.0,-0.006566,-0.07795,2.245e-05,2.849e-13,0.0,0.0003845,0.0,9.857e-05,8.632e-14,-7.35e-12,2.373e-13
4.068e-06,0.001944,1.039e-09,920.6,8.360000000000002e-13,1309.0,-0.01968,-41.45,-40.47,-6.583,-45.76,-33.64,-9.082,-48.09,-36.58,-13.15,-51.67,-42.26,-18.87,-56.55,-51.21,0.1215,0.1997,0.1761,1.043e-10,1.084e-10,1.083e-10,0.002206,0.005393,0.00537,8.856e-11,9.503e-11,9.494e-11,1.0,2.0,0.003927,0.1088,3.296e-11,0.0008929,3.968e-11,0.004268,3.9e-11,3.268e-11,0.1288,3.839e-11,2.925e-11,0.02681,0.0,-0.0071,-0.1134,0.003317,-3.779e-12,0.0,6.713e-13,1.976e-12,0.0001123,9.28e-05,0.0,2.4e-12,0.0,-0.006455,-0.1378,2.972e-05,1.261e-13,0.0,0.0006786,0.0,0.0,6.542e-14,0.0,0.0
4.598e-06,0.001803,2.133e-09,53.03,5.367000000000001e-13,112.9,-0.01971,-11.12,-22.29,-6.578,-13.56,-20.64,-9.072,-11.33,-13.71,-13.15,-9.399,-5.953,-18.9,-12.93,-6.427,0.1302,0.3077,0.2594,1.025e-10,1.142e-10,1.142e-10,0.1001,0.132,0.1235,1.379e-10,1.393e-10,1.393e-10,2.0,2.0,0.1096,0.124,6.827e-11,0.02462,2.396e-11,0.1172,3.458e-11,6.882e-11,0.1411,3.456e-11,6.882e-11,0.006502,0.0,0.0374,-0.1798,0.001549,2.933e-11,0.0,3.072e-11,3.068e-11,0.1188,0.1152,0.0,1.322e-12,0.0,-0.002746,-0.1784,0.09061,6.76e-14,0.0,0.0001826,0.0,0.09074,1.011e-11,8.1e-12,1.012e-11
1.727e-06,0.001788,2.747e-09,1471.0,5.302000000000001e-13,1382.0,-0.01974,-46.92,-44.83,-6.581,-50.78,-40.42,-9.071,-52.23,-41.81,-13.13,-53.69,-43.44,-18.82,-55.17,-45.63,0.1577,0.2352,0.2173,1.198e-10,1.224e-10,1.222e-10,0.001217,0.002277,0.002249,1.15e-10,1.176e-10,1.175e-10,1.0,2.0,0.001809,0.1537,4.904e-11,0.0009454,5.201e-11,0.002518,5.169e-11,4.949e-11,0.1937,5.115e-11,4.789e-11,0.0821,1.874e-11,-0.0002686,-0.03474,0.0851,0.0,1.727e-11,0.0,1.724e-11,0.0,0.001145,0.09263,1.798e-11,0.0,-0.0008096,-0.08081,0.0003439,1.719e-12,0.0,0.01169,0.0,0.0,2.541e-12,0.0,0.0
5.04e-06,0.00114,2.4390000000000004e-09,1112.0,9.593e-13,199.6,-0.01965,-31.35,-21.24,-6.585,-38.22,-25.28,-9.089,-41.17,-29.42,-13.16,-46.45,-37.94,-18.88,-54.25,-50.65,0.5367,0.7543,0.692,1.269e-10,1.313e-10,1.313e-10,0.03022,0.04753,0.0434,1.296e-10,1.33e-10,1.33e-10,1.0,2.0,0.02559,0.4619,5.034e-11,0.004081,4.854e-11,0.02595,5.377e-11,5.537e-11,0.5041,5.371e-11,5.537e-11,0.225,0.0,-0.02194,-0.282,0.02927,0.0,0.0,0.0,2.32e-12,0.0,3.696e-05,0.0,6.352e-12,0.0,-0.01916,-0.2995,7.213e-05,1.24e-13,0.0,0.00154,0.0,0.0,3.433e-14,0.0,0.0
7.652e-06,0.0015429999999999,4.191e-10,387.5,8.678e-13,1404.0,-0.01967,-6.8,-12.44,-6.6,-1.08,7.837,-9.117,-6.49,-0.3985,-13.18,-15.22,-13.93,-18.88,-26.45,-30.83,0.1654,0.2572,0.2564,8.202e-11,9.124e-11,9.107e-11,-0.3702,0.004547,0.003295,3.544e-12,5.841e-13,1.163e-11,2.0,2.0,0.008047,0.06924,0.0,-0.4657,1.83e-11,0.0,1.767e-11,0.0,0.08118,1.259e-11,1.472e-12,-0.04347,0.0,-0.5786,-0.2854,0.0006104,0.0,0.0,0.0,1.14e-12,0.0,0.00478,0.0,1.09e-13,0.0,-0.4911,-0.2122,0.008196,1.89e-13,0.0,0.0004462,0.0,0.0,8.906e-13,0.0,0.0
3.495e-06,0.0008622,2.022e-09,1329.0,8.217000000000001e-13,216.7,-0.01969,-26.29,-16.46,-6.582,-32.65,-20.22,-9.078,-35.27,-23.09,-13.15,-39.81,-29.07,-18.86,-46.69,-39.32,0.3789,0.653,0.5737,1.293e-10,1.331e-10,1.331e-10,0.0235,0.04716,0.04103,1.325e-10,1.353e-10,1.353e-10,1.0,2.0,0.02735,0.388,5.529e-11,0.003823,5.23e-11,0.03101,5.689e-11,5.932e-11,0.4538,5.689e-11,5.932e-11,0.1639,1.62e-11,-0.01301,-0.1148,0.152,1.324e-11,1.217e-11,1.717e-11,1.716e-11,0.009047,0.008961,0.1522,1.615e-11,0.0,-0.02209,-0.2995,8.823e-05,1.993e-13,0.0,0.0008517,0.0,0.0,1.479e-13,0.0,0.0
7.121e-06,0.0006707,1.756e-09,990.0,1.767e-13,1124.0,-0.01964,-5.061,-3.817,-6.591,-6.863,3.88,-9.107,-10.86,-1.679,-13.18,-18.59,-14.51,-18.88,-29.42,-31.22,0.2714,0.3917,0.3916,1.373e-10,1.389e-10,1.389e-10,0.01294,0.1657,0.1656,1.288e-10,1.338e-10,1.338e-10,1.0,2.0,0.163,0.3927,3.382e-11,-0.06282,5.313e-11,0.1671,5.948e-11,4.663e-11,0.3932,5.945e-11,4.663e-11,0.2562,1.785e-11,-0.2107,-0.1349,0.07717,0.0,1.255e-11,0.0,2.524e-13,0.0,0.0009148,0.07948,1.775e-11,0.0,-0.1897,-0.2381,0.0003379,5.28e-14,0.0,0.0003118,0.0,0.0,3.972e-13,0.0,0.0
3.154e-06,0.002224,1.795e-09,100.8,7.616000000000001e-13,1006.0,-0.01974,-16.7,-33.4,-6.578,-11.19,-15.86,-9.071,-12.12,-15.26,-13.13,-12.85,-12.72,-18.85,-13.43,-8.316,0.08669,0.1694,0.1398,1.129e-10,1.165e-10,1.163e-10,0.01678,0.01803,0.01762,1.147e-10,1.224e-10,1.218e-10,2.0,2.0,0.02545,0.08496,5.448e-11,0.01953,4.483e-11,0.02691,4.482e-11,5.454e-11,0.1041,4.469e-11,5.452e-11,0.01589,0.0,0.04064,-0.05095,0.005009,2.495e-11,0.0,2.596e-11,2.489e-11,0.05231,0.05184,0.0,6.806e-12,0.0,0.03912,-0.1103,0.0606,9.977e-14,0.0,0.0002765,0.0,0.0615,1.177e-11,1.132e-11,1.222e-11
