fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height_XY Vout_2 14G,eye_height Vout_2 14G,eye_maxWidth Vout_1 14G,eye_width Vout_2 14G,eye_width_XY Vout_1 14G,eye_width_XY Vout_2 14G,eye_height Vout_1 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_2 14G,eye_maxHeight Vout_1 14G,eye_height_XY Vout_1 14G,eye_width Vout_1 14G,eye_maxWidth Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_2 28G,eye_height Vout_2 28G,eye_height_XY Vout_2 28G,eye_height_XY Vout_1 28G,eye_width_XY Vout_1 28G,eye_width Vout_2 28G,eye_maxHeight Vout_1 28G,eye_height Vout_1 28G,eye_width Vout_1 28G,eye_width_XY Vout_2 28G,eye_height Vout_2 56G,eye_width_XY Vout_1 56G,eye_height_XY Vout_2 56G,eye_height Vout_1 56G,eye_maxWidth Vout_1 56G,eye_height_XY Vout_1 56G,eye_maxHeight Vout_2 56G,eye_width Vout_2 56G,eye_maxWidth Vout_2 56G,eye_width Vout_1 56G,eye_maxHeight Vout_1 56G,eye_width_XY Vout_2 56G
5.174e-06,0.001768,2.525e-10,221.4,8.606000000000001e-13,299.0,-0.01969,-2.769,-5.434,-6.582,-2.831,1.085,-9.091,-5.66,-1.916,-13.17,-11.8,-9.902,-18.88,-21.43,-23.4,0.2511,0.4242,0.3893,1.313e-10,1.337e-10,1.337e-10,0.3802,0.3529,0.3527,1.225e-10,1.277e-10,1.277e-10,2.0,2.0,0.3529,0.1965,5.497e-11,4.95e-11,5.48e-11,5.427e-11,0.05106,5.427e-11,0.355,0.2552,0.2465,4.855e-11,9.597e-12,0.0,0.008537,-0.2174,0.008447,0.0008185,2.544e-12,5.061e-12,0.0,-0.2053,0.0,5.609e-12,-0.2191,2.569e-13,0.0006335,-0.1694,0.0,0.0002948,0.0,0.0,0.0,0.0,0.0,7.883e-14
9.262e-06,0.001451,2.297e-09,44.93,5.669e-13,1238.0,-0.0197,-24.15,-48.3,-6.579,-9.502,-12.53,-9.107,-8.28,-7.65,-13.18,-12.75,-12.37,-18.87,-22.55,-26.45,0.216,0.2809,0.2799,8.573e-11,9.889e-11,9.878e-11,-0.2513,0.0,7.845e-05,0.0,0.0,9.698e-12,2.0,2.0,5.402e-05,-0.173,2.458e-11,0.0,2.26e-11,1.944e-12,-0.04908,0.0,0.0,0.09025,0.08485,2.083e-11,0.0,0.0,0.0,-0.1666,0.0007004,0.0004933,8.769e-14,0.0,0.0,-0.2518,0.0,1.147e-12,-0.1687,8.301e-14,0.001641,-0.2103,0.0,0.0003271,0.0,0.0,0.0,0.0,0.0,3.365e-13
3.474e-06,0.001327,1.587e-09,258.1,5.601000000000001e-13,236.2,-0.01971,-1.958,-3.86,-6.578,-4.562,-2.517,-9.075,-6.215,-3.315,-13.14,-9.704,-6.144,-18.87,-15.08,-10.75,0.3744,0.5525,0.498,1.244e-10,1.297e-10,1.296e-10,0.6075,0.5674,0.5665,1.378e-10,1.392e-10,1.392e-10,2.0,2.0,0.5681,0.5274,5.441e-11,6.751e-11,5.44e-11,6.817e-11,0.2287,6.822e-11,0.5687,0.4071,0.3469,4.987e-11,3.119e-11,1.529e-11,0.4572,0.2222,0.4522,0.1337,1.517e-11,3.06e-11,0.1344,-0.06927,1.208e-11,3.11e-11,-0.2493,8.961e-14,0.05583,-0.2613,0.0,0.0003174,0.0,0.0,0.0,0.0,0.0,7.126e-12
2.032e-06,0.002156,1.293e-09,407.2,1.361e-13,1047.0,-0.01973,-10.58,-17.79,-6.578,-11.13,-11.6,-9.07,-12.2,-10.82,-13.13,-15.7,-13.47,-18.83,-21.12,-18.14,0.1941,0.2094,0.2065,1.384e-10,1.396e-10,1.396e-10,0.0185,0.09594,0.09279,1.413e-10,1.417e-10,1.417e-10,1.0,2.0,0.09389,0.1303,6.811e-11,6.368e-11,6.811e-11,6.614e-11,0.1686,6.614e-11,0.09419,0.2061,0.1971,6.754e-11,2.728e-11,3.142e-11,0.09452,0.03407,0.09451,0.14,3.14e-11,2.393e-11,0.15,0.03336,3.076e-11,2.723e-11,-0.02531,8.805e-12,0.03165,-0.07051,8.999e-12,0.03306,0.03166,6.742e-12,8.506e-12,5.676e-12,0.0331,8.425e-12
3.242e-06,0.001959,5.836e-10,1362.0,7.435e-13,1406.0,-0.01971,-56.46,-53.39,-6.582,-57.57,-44.66,-9.078,-56.69,-44.17,-13.15,-56.18,-45.16,-18.86,-57.6,-50.01,0.09353,0.2002,0.184,1.078e-10,1.12e-10,1.115e-10,0.0006626,0.001204,0.001148,1.054e-10,1.085e-10,1.081e-10,1.0,2.0,0.0009177,0.0004338,4.222e-11,4.23e-11,4.164e-11,4.031e-11,0.04894,4.191e-11,0.001109,0.1466,0.1227,4.29e-11,8.392e-12,0.0,0.0002884,-0.0003116,0.000284,0.01417,4.856e-12,7.118e-12,0.0,-0.09127,0.0,6.679e-12,-0.001355,1.387e-13,5.307e-06,-0.1352,0.0,0.001015,0.0,0.0,0.0,0.0,0.0,1.004e-13
5.175e-06,0.002071,1.59e-09,479.8,1.351e-13,829.0,-0.01965,-20.71,-23.1,-6.585,-24.22,-19.41,-9.09,-26.45,-18.24,-13.17,-31.98,-24.84,-18.88,-41.05,-38.49,0.1217,0.1458,0.1456,1.385e-10,1.395e-10,1.395e-10,-0.01444,0.1344,0.1236,1.414e-10,1.417e-10,1.417e-10,1.0,2.0,0.114,-0.03196,6.601e-11,5.182e-11,6.601e-11,5.902e-11,0.08555,5.902e-11,0.1179,0.1363,0.1246,6.475e-11,1.382e-11,2.783e-11,0.06949,-0.08805,0.06527,0.06246,2.783e-11,4.938e-12,0.06252,-0.02595,2.671e-11,1.373e-11,-0.1435,1.257e-12,0.0005939,-0.07586,0.0,0.002064,0.0,0.0,0.0,0.0,0.0,9.487e-14
3.453e-06,0.001318,6.992e-10,445.5,4.4000000000000004e-13,1116.0,-0.01972,-6.041,-11.25,-6.578,-1.924,4.306,-9.08,-4.319,2.229,-13.15,-9.325,-3.362,-18.87,-17.47,-13.52,0.3363,0.3347,0.3343,1.213e-10,1.266e-10,1.266e-10,0.1199,0.1328,0.1318,1.125e-10,1.217e-10,1.217e-10,2.0,2.0,0.1485,-0.01568,5.707e-11,2.91e-11,5.703e-11,4.216e-11,0.2454,4.221e-11,0.1488,0.3626,0.337,5.478e-11,7.215e-12,1.895e-11,0.03191,-0.1348,0.01714,0.1613,1.788e-11,2.364e-12,0.1653,-0.07007,1.658e-11,3.63e-12,-0.4511,6.336e-14,0.003679,-0.234,0.0,0.000501,0.0,0.0,0.0,0.0,0.0,1.609e-13
8.536e-06,0.002495,4.103e-10,1415.0,9.055e-13,810.8,-0.02006,-31.39,-25.18,-6.611,-56.03,-45.32,-9.109,-60.37,-54.38,-13.17,-64.49,-64.14,-18.87,-70.0,-75.6,0.0008782,0.03308,0.02889,8.993e-11,9.474e-11,9.341e-11,-3.209e-05,9.352e-05,7.937e-05,1.001e-10,1.04e-10,1.035e-10,1.0,2.0,1.074e-05,-8.27e-05,0.0,0.0,1.153e-11,1.879e-11,-0.02911,0.0,0.0,0.0,0.003287,0.0,0.0,0.0,0.0,-8.146e-05,5.812e-07,4.235e-05,3.012e-13,0.0,0.0,-0.03404,0.0,5.376e-13,-6.023e-05,1.188e-13,1.819e-07,-0.02262,0.0,5.19e-05,0.0,0.0,0.0,0.0,0.0,2.448e-13
6.328e-06,0.0006617999999999,1.327e-09,1343.0,4.493000000000001e-13,181.3,-0.01963,-19.65,-8.347,-6.589,-26.74,-14.32,-9.097,-30.29,-19.91,-13.17,-36.89,-31.02,-18.88,-46.76,-46.55,0.3434,0.5905,0.5269,1.122e-10,1.208e-10,1.208e-10,-0.0003234,0.05917,0.05292,1.115e-10,1.2e-10,1.2e-10,1.0,2.0,0.01756,-0.03758,4.332e-11,2.984e-11,4.326e-11,3.913e-11,0.08922,3.913e-11,0.01783,0.3274,0.3012,3.6e-11,0.0,0.0,0.0,-0.0568,3.692e-05,0.004066,1.392e-12,0.0,0.0,-0.3589,0.0,1.183e-12,-0.03814,2.112e-13,0.0001641,-0.2795,0.0,0.001813,0.0,0.0,0.0,0.0,0.0,3.91e-13
6.879999999999999e-06,0.001166,1.6010000000000002e-09,111.5,1.872e-13,858.0,-0.01971,-14.66,-29.32,-6.575,-11.12,-15.72,-9.08,-9.246,-9.522,-13.18,-12.26,-11.32,-18.89,-20.19,-21.36,0.3349,0.4278,0.421,1.386e-10,1.396e-10,1.396e-10,-0.09053,0.07407,0.05635,1.313e-10,1.355e-10,1.355e-10,2.0,2.0,0.03483,-0.2567,6.061e-11,4.146e-11,6.061e-11,5.11e-11,0.3007,5.112e-11,0.04439,0.4237,0.4237,5.71e-11,6.015e-12,1.94e-11,0.0239,-0.2177,0.01927,0.08777,1.92e-11,-4.022e-12,0.09078,-0.1553,1.534e-11,5.956e-12,-0.2086,2.63e-13,0.0005158,-0.2229,0.0,0.00207,0.0,0.0,0.0,0.0,0.0,6.795e-14
