fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_maxHeight Vout_1 14G,eye_maxHeight Vout_2 14G,eye_height Vout_2 14G,eye_height Vout_1 14G,eye_width_XY Vout_2 14G,eye_height_XY Vout_2 14G,eye_width_XY Vout_1 14G,eye_width Vout_2 14G,eye_height_XY Vout_1 14G,eye_width Vout_1 14G,eye_maxWidth Vout_1 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_1 28G,eye_height Vout_1 28G,eye_height_XY Vout_2 28G,eye_height_XY Vout_1 28G,eye_width Vout_1 28G,eye_height Vout_2 28G,eye_width_XY Vout_2 28G,eye_width Vout_2 28G,eye_width_XY Vout_1 28G,eye_maxWidth Vout_2 28G,eye_maxWidth Vout_2 56G,eye_maxWidth Vout_1 56G,eye_maxHeight Vout_2 56G,eye_height Vout_1 56G,eye_width Vout_1 56G,eye_height_XY Vout_1 56G,eye_width_XY Vout_1 56G,eye_height Vout_2 56G,eye_height_XY Vout_2 56G,eye_width_XY Vout_2 56G,eye_maxHeight Vout_1 56G,eye_width Vout_2 56G
5.435e-06,0.001982,8.791e-10,113.0,8.936e-13,301.4,-0.0197,-8.021,-16.05,-6.58,-7.128,-7.734,-9.086,-9.245,-9.442,-13.16,-13.73,-14.26,-18.89,-20.67,-22.26,0.1073,0.2753,0.2407,1.307e-10,1.331e-10,1.33e-10,0.137,0.1453,0.1452,1.179e-10,1.246e-10,1.246e-10,2.0,2.0,0.1455,0.1477,0.07447,-0.03316,4.941e-11,0.1434,5.4e-11,4.401e-11,0.1406,4.943e-11,5.429e-11,4.948e-11,0.0203,0.0,0.0,-0.1229,0.01371,0.000482,0.0,-0.05314,7.899e-12,1.019e-11,3.053e-13,1.126e-11,0.0,0.0,0.0,-0.1253,0.0,0.0002384,4.749e-13,-0.1011,0.0005779,1.525e-13,0.0,0.0
1.67e-06,0.001022,2.141e-09,990.4,9.185e-13,1009.0,-0.01973,-15.59,-14.62,-6.58,-19.13,-11.5,-9.07,-21.62,-13.95,-13.13,-25.73,-18.07,-18.82,-31.63,-24.11,0.1243,0.3103,0.2555,1.106e-10,1.149e-10,1.134e-10,0.0231,0.09975,0.08897,1.02e-10,1.052e-10,1.045e-10,1.0,2.0,0.2044,0.07516,0.0176,0.02817,3.8e-11,0.05896,4.525e-11,4.085e-11,0.1574,4.191e-11,4.576e-11,3.996e-11,0.0,0.0,0.0,-0.0797,0.02342,0.04725,0.0,-0.04741,9.387e-12,0.0,1.018e-11,0.0,7.928e-13,0.0,0.00265,-0.1705,0.0,0.001046,5.574e-13,-0.08683,0.0003187,4.914e-13,0.0,-4.91e-12
9.307e-06,0.001462,4.739e-10,839.0,3.823000000000001e-13,557.1,-0.01955,-34.65,-29.71,-6.602,-45.84,-34.87,-9.111,-50.92,-44.78,-13.17,-58.1,-57.84,-18.87,-65.93,-71.72,0.4216,0.4611,0.4609,1.388e-10,1.396e-10,1.396e-10,0.02903,0.03792,0.03749,1.277e-10,1.322e-10,1.322e-10,1.0,2.0,0.3074,0.01062,-0.01395,0.0735,4.956e-11,0.01054,6.109e-11,4.191e-11,0.2958,5.689e-11,6.109e-11,4.974e-11,0.0,0.0,0.0,-0.2401,0.0001841,0.0471,0.0,-0.01914,6.9e-13,0.0,8.381e-12,0.0,0.0,0.0,0.0,-0.1812,0.0,0.001655,2.645e-13,-0.01608,2.494e-05,9.208e-14,0.0,0.0
6.413999999999999e-06,0.0009367,2.483e-09,112.6,5.578e-13,570.4,-0.01971,-11.99,-24.0,-6.578,-7.617,-8.753,-9.087,-7.878,-6.798,-13.17,-10.2,-7.154,-18.89,-17.88,-16.6,0.624,0.6088,0.6084,1.269e-10,1.302e-10,1.302e-10,0.1788,0.1462,0.1459,1.118e-10,1.21e-10,1.208e-10,2.0,2.0,0.5384,0.1469,-0.01367,0.2912,4.313e-11,0.1469,6.051e-11,2.908e-11,0.5167,5.787e-11,6.062e-11,4.314e-11,0.05638,0.0,0.0,-0.361,0.0555,0.04258,0.0,0.04097,7.607e-12,5.093e-12,6.772e-12,8.35e-12,0.0,0.0,0.0,-0.3095,0.0,0.00259,2.175e-13,-0.22,0.001306,2.724e-13,0.0,0.0
3.053e-06,0.002196,7.113999999999998e-10,80.63,5.416e-13,1381.0,-0.01974,-20.86,-41.73,-6.578,-13.92,-21.35,-9.071,-15.66,-22.35,-13.13,-18.45,-23.88,-18.84,-21.44,-24.2,0.1005,0.1587,0.1448,1.115e-10,1.155e-10,1.154e-10,-0.00989,0.00627,0.005779,1.094e-10,1.174e-10,1.169e-10,2.0,2.0,0.1181,0.009439,0.001316,0.04246,4.105e-11,0.009128,4.554e-11,3.83e-11,0.09937,4.721e-11,4.705e-11,4.126e-11,0.01543,1.27e-11,0.02917,-0.06957,0.01306,0.02883,7.256e-12,-0.001411,1.268e-11,1.211e-11,1.049e-11,1.27e-11,0.0,0.0,0.0,-0.1017,0.0,0.0001074,3.441e-14,-0.02138,0.002282,1.51e-12,0.0,0.0
1.253e-06,0.0007413,2.923e-09,1282.0,4.771000000000002e-13,121.2,-0.01974,-10.06,-3.623,-6.58,-16.39,-9.376,-9.069,-18.77,-11.45,-13.13,-22.79,-15.33,-18.82,-28.52,-21.07,0.008772,0.2647,0.2012,1.015e-10,1.138e-10,1.137e-10,-0.002411,0.08707,0.06579,1.056e-10,1.164e-10,1.164e-10,1.0,2.0,0.1294,0.04516,-0.008671,-0.009705,4.272e-11,0.03463,3.852e-11,3.56e-11,0.09968,3.1e-11,3.854e-11,4.273e-11,0.0,0.0,0.0,-0.07628,0.01269,0.01671,0.0,-0.02261,8.791e-12,0.0,5.654e-12,0.0,2.1e-13,0.0,0.001238,-0.1258,0.0,0.001034,5.007e-13,-0.03819,0.0002247,6.48e-13,0.0,1.572e-13
2.733e-06,0.0009132999999999,2.5280000000000004e-09,1242.0,8.080000000000001e-13,383.9,-0.01971,-24.02,-16.85,-6.581,-29.65,-18.28,-9.074,-32.18,-20.84,-13.14,-36.47,-25.72,-18.84,-42.85,-33.96,0.358,0.5902,0.5284,1.341e-10,1.361e-10,1.36e-10,0.03515,0.06126,0.05388,1.343e-10,1.36e-10,1.359e-10,1.0,2.0,0.455,0.04586,0.01143,0.1562,6.159e-11,0.03813,6.21e-11,6.051e-11,0.3796,5.954e-11,6.213e-11,6.168e-11,0.02001,2.214e-11,0.2015,-0.06795,0.01945,0.1883,1.91e-11,-0.01278,2.301e-11,2.103e-11,2.169e-11,2.307e-11,0.0,0.0,0.0,-0.1962,0.0,0.001164,4.43e-13,-0.02583,8.025e-05,5.01e-13,0.0,0.0
3.832e-06,0.0009593999999999,1.903e-09,1029.0,4.707e-13,547.7,-0.01968,-20.45,-15.31,-6.582,-25.44,-13.98,-9.08,-28.11,-16.73,-13.15,-32.93,-23.1,-18.87,-40.61,-34.31,0.586,0.5817,0.5815,1.366e-10,1.382e-10,1.381e-10,0.113,0.1149,0.1149,1.307e-10,1.337e-10,1.336e-10,1.0,2.0,0.5561,0.1172,0.06095,0.3857,6.017e-11,0.1095,6.717e-11,5.813e-11,0.5086,6.669e-11,6.725e-11,6.018e-11,0.04053,2.724e-11,0.2978,-0.04687,0.04043,0.2959,2.577e-11,-0.04054,2.176e-11,2.069e-11,2.722e-11,2.244e-11,0.0,0.0,0.0,-0.2672,0.0,0.001192,1.44e-13,-0.07816,9.939e-05,3.096e-13,0.0,0.0
3.23e-06,0.002273,8.697999999999998e-10,1215.0,5.183e-13,51.75,-0.01972,-46.7,-34.97,-6.583,-52.63,-40.83,-9.078,-53.78,-42.08,-13.15,-55.1,-44.51,-18.86,-57.38,-49.95,-0.0438,0.1481,0.1165,9.122e-11,1.064e-10,1.063e-10,-0.0005613,0.001672,0.001258,8.301e-11,1.004e-10,1.003e-10,1.0,2.0,0.04525,0.0003541,-0.001061,-0.0715,1.622e-11,0.0001321,2.555e-11,-2.214e-12,0.0413,1.114e-11,2.56e-11,1.624e-11,0.0,0.0,0.0,-0.1127,8.118e-07,0.0006998,0.0,-0.001779,7.245e-14,0.0,3.086e-13,0.0,0.0,0.0,0.0,-0.1071,0.0,6.12e-05,1.023e-13,-0.001201,3.474e-06,8.574e-14,0.0,0.0
1.727e-06,0.001282,2.2770000000000003e-09,1040.0,4.728000000000002e-13,1463.0,-0.01973,-27.07,-28.06,-6.58,-29.88,-21.79,-9.07,-32.34,-24.11,-13.13,-36.39,-28.17,-18.82,-42.08,-34.07,0.1676,0.2571,0.257,1.18e-10,1.213e-10,1.21e-10,0.01242,0.02348,0.0234,1.093e-10,1.147e-10,1.146e-10,1.0,2.0,0.2388,0.02909,0.01151,0.1229,4.77e-11,0.02471,5.133e-11,4.756e-11,0.1987,5.231e-11,5.296e-11,4.801e-11,0.0157,2.092e-11,0.1365,-0.03958,0.01335,0.1199,1.703e-11,-0.006466,1.481e-11,1.666e-11,1.94e-11,1.63e-11,0.0,0.0,0.0,-0.1133,0.0,0.01122,1.973e-12,-0.02049,0.001579,3.231e-12,0.0,0.0
