fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height Vout_1 14G,eye_height_XY Vout_1 14G,eye_width_XY Vout_2 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_2 14G,eye_height Vout_2 14G,eye_width Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_1 14G,eye_height_XY Vout_2 14G,eye_width Vout_1 14G,eye_width_XY Vout_1 14G,eye_maxHeight Vout_1 28G,eye_maxWidth Vout_1 28G,eye_maxWidth Vout_2 28G,eye_width Vout_2 28G,eye_height_XY Vout_1 28G,eye_maxHeight Vout_2 28G,eye_width_XY Vout_2 28G,eye_height Vout_1 28G,eye_height Vout_2 28G,eye_height_XY Vout_2 28G,eye_width_XY Vout_1 28G,eye_width Vout_1 28G,eye_height Vout_2 56G,eye_maxHeight Vout_2 56G,eye_height Vout_1 56G,eye_height_XY Vout_1 56G,eye_width_XY Vout_1 56G,eye_maxWidth Vout_1 56G,eye_width Vout_2 56G,eye_width Vout_1 56G,eye_height_XY Vout_2 56G,eye_width_XY Vout_2 56G,eye_maxHeight Vout_1 56G,eye_maxWidth Vout_2 56G
6.186e-06,0.001227,1.373e-09,1266.0,2.488e-13,1290.0,-0.01962,-43.15,-40.74,-6.589,-53.52,-40.07,-9.098,-54.97,-43.62,-13.17,-57.4,-50.91,-18.88,-62.13,-61.4,0.2388,0.3176,0.3174,1.301e-10,1.334e-10,1.334e-10,0.003462,0.003934,0.003934,1.379e-10,1.384e-10,1.384e-10,1.0,2.0,0.2151,0.3253,6.646e-11,6.664e-11,0.003772,0.002453,6.471e-11,5.548e-11,0.3264,0.003399,5.032e-11,5.545e-11,0.05943,1.311e-11,1.351e-11,6.494e-12,0.05653,0.000732,1.345e-11,-0.1465,-0.001967,0.0007036,1.307e-11,9.245e-12,-0.002095,0.0,-0.236,0.0004654,3.497e-14,0.0,0.0,0.0,8.896e-06,2.228e-13,0.0,0.0
8.353e-06,0.002274,1.9e-09,796.2,9.501000000000002e-13,435.9,-0.01957,-44.51,-38.36,-6.599,-55.73,-44.01,-9.11,-57.99,-50.66,-13.17,-61.75,-59.95,-18.87,-67.3,-71.3,-0.01185,0.07484,0.06608,1.103e-10,1.146e-10,1.143e-10,-0.0006217,0.002133,0.002118,9.965e-11,1.054e-10,1.052e-10,1.0,2.0,-0.06034,0.01786,7.866e-12,0.0,0.0,-0.002703,0.0,3.124e-11,0.01819,1.091e-05,2.623e-11,3.122e-11,0.0,0.0,0.0,0.0,3.829e-05,0.0,2.951e-13,-0.06486,-0.002076,3.871e-06,4.829e-14,0.0,-0.001336,0.0,-0.04136,0.0001221,1.441e-13,0.0,0.0,0.0,2.206e-06,1.043e-13,0.0,0.0
6.288e-06,0.0007683,3.0799999999999997e-10,1339.0,9.871000000000001e-13,991.6,-0.01963,-28.33,-22.86,-6.589,-33.65,-20.37,-9.098,-37.14,-26.58,-13.17,-43.63,-37.68,-18.88,-53.04,-52.77,0.3364,0.4416,0.4277,8.914e-11,9.67e-11,9.63e-11,-0.005277,0.01707,0.01702,7.536e-11,8.24e-11,8.229e-11,1.0,2.0,0.03646,0.1834,1.978e-11,2.057e-11,0.002383,-0.02642,1.67e-11,2.723e-11,0.1998,0.002366,2.987e-11,2.417e-11,0.0,0.0,0.0,0.0,0.004192,0.0,2.56e-13,-0.3992,-0.03384,9.026e-05,1.163e-12,0.0,-0.024,0.0,-0.3229,0.001517,2.62e-13,0.0,0.0,0.0,4.474e-05,2.132e-13,0.0,0.0
1.33e-06,0.001733,1.248e-09,407.1,6.102000000000002e-13,723.1,-0.01975,-8.172,-15.63,-6.58,-10.26,-12.99,-9.069,-12.61,-15.2,-13.13,-16.41,-18.79,-18.82,-21.27,-22.93,0.09186,0.2404,0.2029,1.226e-10,1.274e-10,1.271e-10,0.08839,0.121,0.121,1.183e-10,1.223e-10,1.223e-10,2.0,2.0,0.01047,0.1306,5.213e-11,5.335e-11,0.1082,0.04578,4.984e-11,5.314e-11,0.1602,0.09086,4.857e-11,5.281e-11,0.0,0.0,1.951e-11,1.539e-11,0.03923,0.05866,1.893e-11,-0.06914,-0.01844,0.05157,1.21e-11,0.0,-0.06536,0.0,-0.1178,0.0003101,6.802e-14,0.0,0.0,0.0,0.0004131,4.091e-13,0.0,0.0
3.914e-06,0.001234,1.398e-09,274.0,9.467000000000002e-13,781.9,-0.01972,-6.421,-12.8,-6.58,-2.867,0.8847,-9.079,-5.256,-1.349,-13.15,-9.542,-5.682,-18.88,-16.22,-12.91,0.344,0.452,0.447,1.165e-10,1.198e-10,1.197e-10,0.2968,0.1581,0.1555,9.645e-11,1.097e-10,1.095e-10,2.0,2.0,0.1925,0.3192,3.86e-11,3.875e-11,0.2109,0.1376,3.611e-11,4.784e-11,0.3711,0.208,4.767e-11,4.752e-11,0.03654,7.505e-12,9.217e-12,6.397e-12,0.01323,0.04994,8.631e-12,-0.1084,-0.1135,0.04948,6.746e-12,7.133e-12,-0.4233,0.0,-0.2909,0.001349,1.576e-13,0.0,0.0,0.0,0.006837,6.928e-13,0.0,0.0
2.109e-06,0.001649,2.088e-09,1105.0,1.877e-13,1092.0,-0.01972,-37.39,-36.41,-6.58,-43.52,-34.98,-9.072,-45.76,-36.22,-13.13,-49.0,-39.39,-18.83,-52.66,-43.84,0.273,0.288,0.2878,1.416e-10,1.419e-10,1.419e-10,0.007717,0.009549,0.009542,1.395e-10,1.402e-10,1.402e-10,1.0,2.0,0.2196,0.2908,6.646e-11,6.646e-11,0.009663,0.00837,6.481e-11,6.925e-11,0.2908,0.009655,6.843e-11,6.922e-11,0.2211,3.225e-11,3.049e-11,2.913e-11,0.2031,0.008425,3.046e-11,0.05564,0.002685,0.007169,3.218e-11,3.109e-11,-0.002428,0.00311,-0.06014,0.0752,1.056e-11,1.058e-11,7.673e-12,8.222e-12,0.00305,8.986e-12,0.07575,9.087e-12
8.487e-06,0.001635,1.157e-09,205.5,3.7230000000000004e-13,84.96,-0.0196,2.739,5.53,-6.593,-3.639,-0.5377,-9.111,-7.152,-4.862,-13.18,-14.81,-16.06,-18.87,-24.97,-30.72,0.06092,0.3004,0.2809,7.451e-11,9.347e-11,9.346e-11,0.1471,0.4255,0.4138,8.086e-11,9.821e-11,9.819e-11,2.0,2.0,-0.1427,0.003331,1.419e-12,0.0,0.0,-0.226,0.0,0.0,0.0,0.004929,0.0,1.015e-12,0.0,0.0,0.0,0.0,0.0003581,0.0,1.118e-14,-0.2276,-0.32,5.936e-05,4.434e-13,0.0,-0.2572,0.0,-0.1965,0.0008983,4.038e-13,0.0,0.0,0.0,0.0004747,1.26e-13,0.0,0.0
7.272e-06,0.001193,2.3730000000000004e-09,1146.0,4.701000000000001e-13,1256.0,-0.0196,-40.13,-37.81,-6.593,-49.54,-36.3,-9.105,-52.57,-43.0,-13.17,-57.33,-53.06,-18.87,-63.46,-64.99,0.3529,0.3296,0.3293,1.005e-10,1.142e-10,1.142e-10,0.0004418,0.006251,0.006246,9.387e-11,1.073e-10,1.073e-10,1.0,2.0,0.1488,0.3106,3.246e-11,3.254e-11,0.002991,-0.001818,2.39e-11,4.197e-11,0.3231,0.002974,3.698e-11,4.189e-11,0.0,0.0,0.0,0.0,0.00413,0.0,1.711e-13,-0.3502,-0.008817,1.447e-05,1.054e-12,0.0,-0.006661,0.0,-0.2676,0.0005567,4.586e-13,0.0,0.0,0.0,3.806e-06,5.164e-14,0.0,0.0
6.246e-06,0.0005927,7.698e-11,1064.0,6.042000000000001e-13,1249.0,-0.01965,-2.267,-0.5497,-6.592,-2.605,9.268,-9.106,-6.9,2.709,-13.18,-14.46,-9.21,-18.88,-25.13,-25.53,0.3327,0.3551,0.3546,9.363e-11,1.028e-10,1.027e-10,0.08742,0.1351,0.1343,6.397e-11,8.533e-11,8.493e-11,1.0,2.0,0.1354,0.2348,1.475e-11,1.499e-11,0.03473,-0.03325,8.147e-12,3.701e-11,0.2408,0.0339,3.454e-11,3.486e-11,0.0,0.0,0.0,0.0,0.002301,0.0,2.446e-13,-0.3125,-0.2834,0.0007598,2.466e-12,0.0,-0.2403,0.0,-0.2775,0.00345,5.956e-13,0.0,0.0,0.0,0.0002743,8.071e-14,0.0,0.0
4.027e-06,0.0006012,1.721e-09,1427.0,8.709000000000002e-13,1160.0,-0.01968,-16.79,-12.27,-6.582,-21.02,-8.236,-9.081,-23.81,-11.73,-13.15,-28.82,-18.89,-18.87,-36.79,-31.01,0.2545,0.3719,0.34,1.019e-10,1.065e-10,1.058e-10,-0.01927,0.03286,0.0327,9.06e-11,9.534e-11,9.517e-11,1.0,2.0,0.1485,0.2159,3.092e-11,3.493e-11,0.02681,-0.0144,3.459e-11,3.928e-11,0.2582,0.02413,4.146e-11,3.758e-11,0.0,0.0,0.0,0.0,0.02709,0.0,4.4e-12,-0.1566,-0.0501,0.002246,3.14e-12,0.0,-0.05428,0.0,-0.2948,0.0005727,1.587e-13,0.0,0.0,0.0,0.000117,1.476e-13,0.0,0.0
