fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_width Vout_1 14G,eye_maxHeight Vout_2 14G,eye_width_XY Vout_2 14G,eye_maxWidth Vout_1 14G,eye_height_XY Vout_2 14G,eye_maxHeight Vout_1 14G,eye_height_XY Vout_1 14G,eye_width_XY Vout_1 14G,eye_height Vout_2 14G,eye_height Vout_1 14G,eye_width Vout_2 14G,eye_maxWidth Vout_2 14G,eye_width Vout_1 28G,eye_height_XY Vout_2 28G,eye_width_XY Vout_1 28G,eye_height Vout_1 28G,eye_width_XY Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_1 28G,eye_height Vout_2 28G,eye_maxHeight Vout_2 28G,eye_maxWidth Vout_2 28G,eye_width Vout_2 28G,eye_height_XY Vout_1 28G,eye_height Vout_1 56G,eye_width_XY Vout_2 56G,eye_maxWidth Vout_1 56G,eye_width Vout_1 56G,eye_maxHeight Vout_2 56G,eye_height Vout_2 56G,eye_maxWidth Vout_2 56G,eye_maxHeight Vout_1 56G,eye_width Vout_2 56G,eye_height_XY Vout_2 56G,eye_height_XY Vout_1 56G,eye_width_XY Vout_1 56G
5.603e-06,0.001165,2.223e-09,1202.0,1.926e-13,578.4,-0.01964,-37.14,-30.59,-6.587,-48.1,-36.21,-9.093,-51.93,-40.23,-13.17,-55.35,-47.62,-18.88,-60.12,-57.89,0.4379,0.4907,0.4792,1.311e-10,1.344e-10,1.344e-10,0.007817,0.009823,0.009527,1.218e-10,1.275e-10,1.275e-10,1.0,2.0,6.107e-11,0.007803,5.449e-11,6.312e-11,0.007296,0.4706,0.4692,6.312e-11,0.00499,0.4351,5.131e-11,5.449e-11,2.618e-11,0.0006026,2.764e-11,0.05439,1.086e-11,2.771e-11,0.2506,-0.004036,0.000635,1.121e-11,9.802e-12,0.2506,-0.2494,7.522e-14,0.0,0.0,0.0,-0.004792,0.0,0.0,0.0,7.389e-06,0.01458,1.39e-12
1.865e-06,0.001809,7.771e-11,480.2,6.764e-13,1322.0,-0.01974,-10.12,-16.41,-6.58,-9.234,-6.423,-9.071,-11.71,-8.843,-13.13,-15.94,-13.21,-18.83,-22.26,-20.11,0.1415,0.2426,0.2123,1.116e-10,1.168e-10,1.165e-10,0.03937,0.08063,0.07987,9.422e-11,1.043e-10,1.042e-10,1.0,2.0,4.451e-11,0.1271,3.739e-11,4.521e-11,0.1173,0.1698,0.1386,4.519e-11,0.04328,0.06135,3.597e-11,3.768e-11,7.318e-12,0.02025,7.883e-12,-0.09825,9.201e-12,8.187e-12,0.02388,-0.1024,0.02093,9.701e-12,6.7e-12,0.02338,-0.1609,7.241e-14,0.0,0.0,0.0,-0.2118,0.0,0.0,0.0,0.0003847,0.001087,7.481e-14
5.293e-06,0.001092,4.608e-10,1430.0,2.377e-14,1108.0,-0.01965,-42.1,-38.12,-6.586,-34.95,-30.05,-9.091,-34.17,-27.71,-13.16,-37.76,-30.92,-18.88,-45.51,-43.05,-0.003671,0.1698,0.1191,1.187e-10,1.257e-10,1.256e-10,-0.001709,0.0009627,0.0007043,2.936e-11,5.763e-11,5.745e-11,1.0,2.0,4.592e-11,0.0,1.125e-12,5.074e-11,1.935e-05,0.08801,0.0741,5.066e-11,-0.004267,0.02413,0.0,0.0,1.702e-11,4.61e-06,1.814e-11,0.04327,1.767e-13,1.849e-11,0.07641,-0.00716,0.0,0.0,0.0,0.0673,-0.0561,5.953e-14,1.505e-12,1.458e-12,0.0,-0.00663,0.0,0.005713,0.0,2.17e-05,0.002998,3.323e-12
4.27e-06,0.0008318999999999,1.779e-10,1356.0,8.613e-13,1358.0,-0.01967,-29.53,-25.76,-6.583,-33.99,-20.77,-9.083,-36.76,-24.47,-13.16,-41.68,-32.0,-18.87,-49.27,-44.15,0.2343,0.3389,0.3384,9.604e-11,1.02e-10,1.015e-10,0.001995,0.01151,0.01141,8.679e-11,9.202e-11,9.183e-11,1.0,2.0,3.78e-11,0.009915,2.844e-11,3.705e-11,0.009508,0.2662,0.2381,3.394e-11,-0.003896,0.1121,3.034e-11,3.223e-11,0.0,0.0003878,2.967e-12,-0.222,2.285e-12,0.0,0.0,-0.02004,0.0004083,7.809e-13,-3.788e-12,0.01305,-0.3175,1.79e-13,0.0,0.0,0.0,-0.01998,0.0,0.0,0.0,9.79e-05,0.000627,1.938e-13
5.94e-06,0.002497,2.9740000000000003e-09,200.5,4.3710000000000013e-13,803.7,-0.0197,-9.226,-18.18,-6.576,-2.524,1.97,-9.098,-3.656,2.647,-13.19,-8.888,-2.848,-18.89,-18.38,-15.9,0.03345,0.0697,0.05928,1.197e-10,1.229e-10,1.229e-10,-0.005132,0.03047,0.03046,1.183e-10,1.248e-10,1.247e-10,2.0,2.0,5.174e-11,0.03114,4.306e-11,5.165e-11,0.03101,0.03856,0.03529,5.098e-11,-0.009071,-0.00813,3.39e-11,4.309e-11,0.0,0.0009288,3.794e-12,-0.0425,6.899e-13,0.0,0.0,-0.02922,0.0,0.0,0.0,0.0004747,-0.03126,3.059e-13,0.0,0.0,0.0,-0.04846,0.0,0.0,0.0,0.0002008,0.0001208,2.425e-13
1.413e-06,0.002111,2.488e-09,397.3,1.055e-13,1318.0,-0.01975,-12.06,-23.11,-6.579,-13.38,-18.79,-9.068,-14.55,-18.48,-13.13,-17.37,-20.03,-18.81,-20.21,-20.24,0.1399,0.164,0.16,1.385e-10,1.396e-10,1.396e-10,0.06604,0.05377,0.053,1.414e-10,1.416e-10,1.416e-10,2.0,2.0,6.838e-11,0.05333,6.875e-11,6.877e-11,0.05266,0.1558,0.1359,6.876e-11,0.04745,0.1062,6.758e-11,6.876e-11,3.196e-11,0.03507,3.263e-11,0.001801,3.252e-11,3.264e-11,0.1156,0.02249,0.05395,3.257e-11,3.16e-11,0.09103,-0.02202,1.442e-11,1.246e-11,1.069e-11,0.06047,0.05326,1.443e-11,0.04616,1.4e-11,0.05963,0.04461,1.246e-11
9.246e-06,0.001785,1.1790000000000002e-09,107.4,9.423e-13,1443.0,-0.0197,-16.2,-32.4,-6.592,-4.957,-3.372,-9.112,-9.395,-9.708,-13.17,-16.73,-20.3,-18.87,-25.62,-32.4,0.06176,0.1697,0.1421,6.386e-11,7.412e-11,7.361e-11,-0.2009,0.0,0.000196,0.0,0.0,7.521e-12,2.0,2.0,0.0,0.0,8.267e-13,0.0,0.002684,0.0,0.0007137,1.465e-12,-0.1892,-0.1468,0.0,0.0,0.0,0.001557,4.527e-13,-0.1975,7.662e-13,0.0,0.0,-0.188,0.0,0.0,0.0,0.000931,-0.1498,9.324e-13,0.0,0.0,0.0,-0.1446,0.0,0.0,0.0,0.0004278,0.0007379,7.42e-13
7.663e-06,0.0007616,8.292999999999998e-10,664.5,2.111e-13,1460.0,-0.01967,-3.927,-7.445,-6.59,1.28,10.67,-9.118,-3.588,3.941,-13.18,-12.61,-10.33,-18.88,-24.01,-27.67,0.2339,0.3202,0.32,1.255e-10,1.301e-10,1.3e-10,-0.07264,0.1754,0.1607,1.033e-10,2.185e-11,1.185e-10,2.0,2.0,4.191e-11,0.0,2.631e-11,4.901e-11,0.1474,0.3286,0.3268,4.901e-11,-0.3727,0.1276,0.0,0.0,0.0,0.004388,8.467e-13,-0.268,1.04e-12,0.0,0.0,-0.3318,0.0,0.0,0.0,0.00143,-0.2489,8.958e-13,0.0,0.0,0.0,-0.3217,0.0,0.0,0.0,0.0091,0.0006144,8.69e-14
6.881e-06,0.001486,2.414e-09,754.0,5.937000000000001e-13,1338.0,-0.01961,-30.69,-31.67,-6.591,-33.97,-21.74,-9.102,-37.78,-28.35,-13.17,-44.8,-40.16,-18.88,-54.63,-55.47,0.26,0.2658,0.2648,1.004e-10,1.078e-10,1.076e-10,-0.08363,0.03112,0.0307,6.884e-11,9.056e-11,8.994e-11,1.0,2.0,3.959e-11,0.009992,1.604e-11,4.129e-11,0.00969,0.245,0.2446,4.075e-11,-0.07508,0.1401,7.486e-12,1.625e-11,0.0,0.0004066,1.553e-13,-0.264,1.07e-12,0.0,0.0,-0.1358,0.0,0.0,0.0,0.0003449,-0.2161,5.379e-13,0.0,0.0,0.0009176,-0.09908,4.924e-13,0.0,-1.005e-11,0.0006473,0.001197,4.768e-13
1.6269999999999998e-06,0.001331,1.287e-09,750.5,6.818e-13,90.02,-0.01973,-9.723,-5.282,-6.58,-15.99,-10.93,-9.07,-18.35,-13.0,-13.13,-22.41,-16.97,-18.82,-28.29,-22.97,0.07324,0.3059,0.2396,9.911e-11,1.12e-10,1.12e-10,0.1147,0.318,0.257,1.05e-10,1.16e-10,1.159e-10,1.0,2.0,0.0,0.1688,3.931e-11,0.0,0.137,0.0,0.1088,3.377e-11,0.03156,-0.0404,3.239e-11,3.935e-11,0.0,0.009802,1.905e-12,-0.1331,1.651e-12,0.0,0.0,-0.1123,0.0,0.0,0.0,0.003328,-0.1672,8.706e-14,0.0,0.0,0.0,-0.1578,0.0,0.0,0.0,0.0001567,0.0003115,3.004e-13
