fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_width_XY Vout_2 14G,eye_width Vout_1 14G,eye_height_XY Vout_1 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_2 14G,eye_height Vout_2 14G,eye_maxHeight Vout_1 14G,eye_width Vout_2 14G,eye_width_XY Vout_1 14G,eye_height Vout_1 14G,eye_height_XY Vout_2 14G,eye_maxWidth Vout_2 14G,eye_height Vout_1 28G,eye_maxHeight Vout_2 28G,eye_maxWidth Vout_2 28G,eye_width_XY Vout_1 28G,eye_width Vout_1 28G,eye_height_XY Vout_2 28G,eye_height_XY Vout_1 28G,eye_width Vout_2 28G,eye_height Vout_2 28G,eye_maxHeight Vout_1 28G,eye_width_XY Vout_2 28G,eye_maxWidth Vout_1 28G,eye_width_XY Vout_2 56G,eye_width Vout_2 56G,eye_width Vout_1 56G,eye_maxWidth Vout_2 56G,eye_height Vout_2 56G,eye_height_XY Vout_1 56G,eye_height_XY Vout_2 56G,eye_height Vout_1 56G,eye_width_XY Vout_1 56G,eye_maxHeight Vout_2 56G,eye_maxWidth Vout_1 56G,eye_maxHeight Vout_1 56G
2.422e-06,0.0006157,2.669e-09,1248.0,8.22e-13,1330.0,-0.01972,-7.491,-5.231,-6.58,-10.15,0.2586,-9.074,-12.73,-2.371,-13.14,-17.14,-7.181,-18.84,-23.88,-15.25,0.1746,0.3132,0.2685,1.085e-10,1.111e-10,1.11e-10,-0.003546,0.07771,0.07739,9.813e-11,9.849e-11,9.849e-11,1.0,2.0,3.479e-11,4.602e-11,0.1749,4.347e-11,0.07972,0.01141,0.2238,4.109e-11,4.26e-11,0.1034,0.06473,3.867e-11,-0.05788,0.03446,1.402e-11,1.226e-11,0.0,0.03307,0.07441,1.111e-11,-0.05466,0.0,1.069e-11,0.0,1.772e-12,0.0,0.0,0.0,-0.09427,0.005051,0.0001898,-0.156,1.153e-12,0.0,0.0,0.0
9.455e-06,0.001086,2.014e-09,626.8,7.413e-13,1053.0,-0.0196,-6.942,-7.594,-6.606,-8.27,1.598,-9.114,-14.14,-8.898,-13.17,-23.14,-23.47,-18.87,-34.34,-40.38,0.295,0.3976,0.3965,7.412e-11,8.972e-11,8.966e-11,-0.07677,0.2273,0.2228,2.381e-11,5.243e-11,5.241e-11,1.0,2.0,1.434e-12,6.708e-12,0.01956,1.245e-11,0.0,-0.3391,0.01973,0.0,1.18e-11,-0.1813,0.002265,0.0,-0.3496,0.0,0.0,1.989e-13,0.0,0.01163,0.00128,0.0,-0.3036,0.0,7.024e-13,0.0,1.244e-12,0.0,0.0,0.0,-0.3038,0.0002642,0.00819,-0.2957,2.543e-14,0.0,0.0,0.0
3.863e-06,0.001021,1.775e-09,530.6,3.4960000000000003e-14,370.1,-0.0197,1.192,3.183,-6.58,-5.136,-2.892,-9.075,-7.06,-4.166,-13.15,-10.05,-5.608,-18.88,-16.51,-11.57,0.0636,0.3076,0.2323,9.639e-11,1.108e-10,1.107e-10,0.007375,0.3814,0.2751,1.118e-10,1.211e-10,1.21e-10,2.0,2.0,4.544e-11,2.773e-11,0.09547,3.381e-11,0.1702,0.009532,0.121,4.054e-11,3.38e-11,-0.04525,0.1171,4.545e-11,-0.09877,0.106,1.419e-11,2.264e-12,0.0,0.09674,0.009853,1.258e-11,0.0743,0.0,1.365e-11,0.0,2.827e-12,1.095e-12,0.0,2.97e-12,-0.04318,0.001001,0.00688,-0.1569,2.814e-13,0.01799,0.0,0.0
1.28e-06,0.002382,2.861e-09,46.98,7.735000000000001e-13,60.51,-0.01975,-28.64,-57.8,-6.581,-31.15,-56.21,-9.07,-29.08,-49.51,-13.13,-27.41,-41.94,-18.82,-26.4,-33.85,0.005084,0.1125,0.08438,8.839e-11,1.06e-10,1.057e-10,-0.003259,0.0,0.002406,0.0,0.0,3.661e-11,2.0,2.0,9.146e-12,0.0,0.03704,0.0,0.0,-0.005815,0.0,0.0,2.717e-11,-0.02209,0.001917,0.0,-0.04501,0.0,0.0,4.98e-12,0.0,0.00306,0.002956,0.0,-0.007454,0.0,6.138e-12,0.0,1.4e-12,0.0,0.0,0.0,-0.009774,0.0003862,0.0005654,-0.07009,6.856e-13,0.0,0.0,0.0
3.738e-06,0.0006613999999999,1.791e-09,729.7,8.800000000000001e-13,772.5,-0.01971,0.6278,1.618,-6.582,1.632,10.56,-9.086,-1.31,7.427,-13.16,-6.881,0.8631,-18.88,-15.47,-10.32,0.2897,0.4765,0.4205,1.146e-10,1.187e-10,1.184e-10,0.4738,0.4043,0.4033,9.655e-11,1.031e-10,1.029e-10,2.0,2.0,3.801e-11,4.806e-11,0.2809,4.738e-11,0.4985,0.4272,0.3389,3.86e-11,4.69e-11,0.1491,0.464,4.009e-11,-0.1505,0.05149,7.719e-12,1.021e-11,9.809e-12,0.05029,0.06697,4.268e-12,-0.01707,0.06823,4.787e-12,1.104e-11,4.453e-14,0.0,0.0,0.0,-0.3284,0.0004145,0.00516,-0.3,4.025e-14,0.0,0.0,0.0
5.029e-06,0.0006774,1.164e-09,1277.0,5.113000000000002e-13,984.3,-0.01966,-18.4,-14.38,-6.585,-22.66,-9.818,-9.088,-25.69,-14.1,-13.16,-31.33,-23.09,-18.88,-40.33,-37.15,0.4316,0.4184,0.4179,1.124e-10,1.202e-10,1.202e-10,-0.0006205,0.04386,0.04365,1.028e-10,1.145e-10,1.143e-10,1.0,2.0,3.95e-11,4.867e-11,0.3613,5.136e-11,0.04266,-0.0147,0.4089,3.524e-11,5.136e-11,0.2265,0.03782,3.966e-11,-0.09605,0.002438,6.741e-12,7.253e-12,8.859e-12,0.002069,0.05949,1.01e-12,-0.06652,0.08017,5.787e-12,1.041e-11,2.257e-13,0.0,0.0,0.0,-0.06017,0.002807,5.799e-05,-0.2954,4.089e-13,0.0,0.0,0.0
9.116e-06,0.001807,2.278e-09,1062.0,4.801e-13,1416.0,-0.01955,-50.66,-49.42,-6.602,-52.35,-40.44,-9.111,-56.32,-49.67,-13.17,-61.98,-61.18,-18.87,-68.5,-73.64,0.09334,0.1736,0.1736,7.781e-11,9.382e-11,9.377e-11,1.132e-05,0.0005309,0.0005197,8.458e-11,8.833e-11,8.811e-11,1.0,2.0,3.373e-14,1.937e-11,0.04194,2.272e-11,0.0,-0.000868,0.0441,0.0,1.893e-11,-0.06649,7e-07,0.0,-0.1842,0.0,0.0,3.053e-13,0.0,9.977e-07,0.0004038,0.0,-0.000591,0.0,2.576e-13,0.0,1.373e-13,0.0,0.0,0.0,-0.0004766,4.864e-05,6.893e-07,-0.1273,6.119e-14,0.0,0.0,0.0
6.385e-06,0.001871,2.386e-09,860.0,3.934e-13,1207.0,-0.01962,-42.28,-42.1,-6.59,-52.4,-39.55,-9.1,-54.37,-43.85,-13.17,-57.53,-51.75,-18.88,-62.63,-62.41,0.19,0.1954,0.1952,1.035e-10,1.171e-10,1.171e-10,0.004431,0.006035,0.006035,9.481e-11,1.079e-10,1.078e-10,1.0,2.0,3.511e-11,4.443e-11,0.1559,4.879e-11,0.003894,-0.0002655,0.1669,2.836e-11,4.799e-11,0.04233,0.003849,3.523e-11,-0.1566,0.0,0.0,4.482e-12,-4.21e-12,3.237e-05,0.002181,0.0,-0.006975,0.002599,5.848e-13,4.596e-12,2.169e-13,0.0,0.0,0.0,-0.005371,0.0007786,1.682e-05,-0.1316,1.42e-13,0.0,0.0,0.0
7.837e-06,0.00185,7.771e-10,324.4,6.714e-13,798.6,-0.01966,-5.674,-10.13,-6.599,-1.497,6.76,-9.118,-6.837,-1.182,-13.18,-15.63,-14.79,-18.87,-26.73,-31.37,0.1497,0.2462,0.219,1.028e-10,1.095e-10,1.094e-10,-0.1042,0.1077,0.1057,6.449e-11,1.719e-11,8.833e-11,2.0,2.0,5.066e-13,3.2e-11,0.08325,3.389e-11,0.0,-0.3003,0.08545,0.0,3.27e-11,-0.06726,0.001804,0.0,-0.1581,0.0,0.0,7.955e-14,0.0,0.004179,0.0007451,0.0,-0.3793,0.0,2.769e-13,0.0,5.608e-13,0.0,0.0,0.0,-0.2799,0.0005982,0.001273,-0.1246,3.362e-13,0.0,0.0,0.0
3.5619999999999995e-06,0.0023279999999999,2.473e-09,176.0,9.98e-13,373.8,-0.01972,-6.663,-13.21,-6.579,-6.042,-5.371,-9.075,-7.377,-5.558,-13.14,-8.951,-4.642,-18.88,-12.75,-5.435,0.04642,0.1676,0.1382,1.244e-10,1.289e-10,1.286e-10,0.08438,0.1142,0.1141,1.234e-10,1.287e-10,1.287e-10,2.0,2.0,5.783e-11,4.944e-11,0.08577,5.354e-11,0.1181,0.06889,0.09804,5.624e-11,5.347e-11,-0.02168,0.1012,5.79e-11,-0.07957,0.08645,2.627e-11,8.537e-12,4.974e-12,0.0796,0.01093,2.618e-11,0.04873,0.01126,2.525e-11,9.383e-12,1.062e-11,1.03e-11,0.0,1.062e-11,-0.004166,4.827e-05,0.04049,-0.07945,4.498e-14,0.04081,0.0,0.0
9.481999999999998e-06,0.00191,8.63e-10,1325.0,2.2280000000000002e-13,267.7,-0.01957,-57.72,-46.45,-6.604,-44.17,-33.9,-9.111,-47.66,-41.83,-13.17,-55.4,-55.42,-18.86,-65.4,-71.46,-0.03275,0.1253,0.1104,9.148e-11,1.057e-10,1.056e-10,-0.001124,0.0,0.0001632,0.0,0.0,4.094e-11,1.0,2.0,4.575e-13,-9.582e-12,0.002892,7.87e-12,0.0,-0.001348,0.004147,0.0,7.507e-12,-0.1232,3.82e-06,0.0,-0.1372,1.107e-05,5.205e-13,9.704e-14,0.0,5.702e-06,0.0001727,-2.446e-11,-0.001159,0.0,3.164e-13,0.0,9.341e-14,0.0,0.0,0.0,-0.0007794,0.0001933,3.396e-06,-0.09321,1.628e-13,0.0,0.0,0.0
