fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_width Vout_2 14G,eye_height Vout_1 14G,eye_maxWidth Vout_1 14G,eye_width Vout_1 14G,eye_width_XY Vout_2 14G,eye_width_XY Vout_1 14G,eye_height_XY Vout_2 14G,eye_maxHeight Vout_1 14G,eye_height Vout_2 14G,eye_maxWidth Vout_2 14G,eye_maxHeight Vout_2 14G,eye_height_XY Vout_1 14G,eye_width Vout_2 28G,eye_maxHeight Vout_2 28G,eye_maxHeight Vout_1 28G,eye_height Vout_1 28G,eye_maxWidth Vout_2 28G,eye_height_XY Vout_2 28G,eye_width_XY Vout_1 28G,eye_maxWidth Vout_1 28G,eye_width_XY Vout_2 28G,eye_height Vout_2 28G,eye_width Vout_1 28G,eye_height_XY Vout_1 28G,eye_maxWidth Vout_2 56G,eye_height_XY Vout_2 56G,eye_width_XY Vout_2 56G,eye_width_XY Vout_1 56G,eye_maxWidth Vout_1 56G,eye_width Vout_2 56G,eye_height Vout_2 56G,eye_maxHeight Vout_2 56G,eye_maxHeight Vout_1 56G,eye_height_XY Vout_1 56G,eye_width Vout_1 56G,eye_height Vout_1 56G
4.47e-06,0.002355,2.023e-09,558.7,7.173e-13,1467.0,-0.01967,-31.44,-35.22,-6.584,-32.64,-22.6,-9.085,-35.45,-25.77,-13.16,-40.59,-32.67,-18.88,-48.68,-44.29,0.01578,0.08206,0.06313,9.275e-11,9.872e-11,9.766e-11,-0.01394,0.0228,0.02169,5.794e-11,7.609e-11,7.545e-11,1.0,2.0,0.0,-0.01513,3.037e-11,3.455e-11,1.192e-11,2.893e-11,0.01847,0.03536,-0.01409,0.0,0.0,0.03089,0.0,0.0,0.0,-0.06238,0.0,0.0005019,2.455e-12,0.0,5.861e-13,-0.1186,0.0,0.0003045,0.0,0.0009314,2.697e-13,8.578e-14,0.0,0.0,-0.08728,0.0,0.0,0.0001189,0.0,-0.065
6.296999999999999e-06,0.002069,9.466e-11,1243.0,2.824e-13,103.0,-0.01964,-51.96,-39.03,-6.59,-50.47,-38.2,-9.1,-50.57,-40.39,-13.17,-54.79,-49.1,-18.88,-62.06,-62.09,-0.06498,0.1249,0.1054,8.632e-11,1.024e-10,1.023e-10,-0.0003402,0.0006952,0.0005655,7.084e-11,8.946e-11,8.92e-11,1.0,2.0,0.0,-0.1156,1.411e-11,-4.755e-12,2.008e-13,1.405e-11,1.787e-06,0.01562,-0.001011,0.0,0.0,0.01365,0.0,0.0,0.0,-0.1305,0.0,2.342e-06,5.637e-13,0.0,6.225e-13,-0.0009278,0.0,0.0008407,0.0,9.519e-07,2.082e-13,1.955e-13,0.0,0.0,-0.0007169,0.0,0.0,0.0002266,0.0,-0.09492
1.993e-06,0.0008518999999999,1.488e-09,1373.0,8.069e-13,1267.0,-0.01973,-24.83,-21.95,-6.58,-28.98,-18.46,-9.071,-31.48,-21.01,-13.13,-35.62,-25.5,-18.83,-41.54,-32.63,0.1224,0.3115,0.2605,1.069e-10,1.123e-10,1.121e-10,0.006033,0.02022,0.01975,9.956e-11,1.032e-10,1.026e-10,1.0,2.0,3.877e-11,0.09055,4.263e-11,4.203e-11,3.631e-11,4.202e-11,0.01361,0.2112,0.002875,3.919e-11,0.01673,0.1674,7.654e-12,0.004889,0.0,-0.09306,1.028e-11,0.004799,9.245e-12,0.0,7.851e-12,-0.01043,0.0,0.04824,2.99e-13,5.005e-05,1.255e-13,1.09e-13,0.0,-5.92e-12,-0.02165,0.0002963,0.0,0.0009476,0.0,-0.1872
7.203999999999999e-06,0.0008507999999999,2.171e-09,38.46,4.4560000000000004e-13,834.0,-0.01971,-23.6,-47.2,-6.577,-13.91,-21.33,-9.085,-11.11,-13.31,-13.17,-11.4,-9.737,-18.89,-19.06,-19.07,0.5267,0.4885,0.4882,1.167e-10,1.233e-10,1.233e-10,-0.01507,0.0254,0.02422,4.138e-11,2.324e-11,6.632e-11,2.0,2.0,0.0,0.2122,4.944e-11,4.424e-11,1.125e-11,4.939e-11,0.02517,0.4347,-0.249,0.0,0.0,0.4135,0.0,0.0,0.0,-0.3578,0.0,0.005707,2.71e-12,0.0,1.056e-12,-0.173,0.0,0.003537,0.0,0.001714,2.408e-13,4.087e-13,0.0,0.0,-0.1956,0.0,0.0,0.0006246,0.0,-0.3053
8.378999999999999e-06,0.0009766,2.857e-09,576.3,4.983e-14,1245.0,-0.01966,-4.495,-8.025,-6.582,-7.044,-6.214,-9.104,-7.253,-2.312,-13.18,-14.25,-11.92,-18.87,-25.43,-29.16,0.1999,0.2641,0.2281,1.28e-10,1.323e-10,1.322e-10,0.04992,0.2004,0.1997,1.257e-10,1.007e-10,1.309e-10,2.0,2.0,5.218e-11,0.1533,6.155e-11,5.947e-11,5.624e-11,6.153e-11,0.06773,0.1969,-0.1828,5.659e-11,0.1474,0.19,0.0,0.0,0.1638,0.04772,0.0,0.05436,2.182e-11,2.189e-11,8.692e-12,-0.2158,1.974e-11,0.1589,0.0,0.000877,1.171e-13,2.223e-13,0.0,0.0,-0.2215,0.0,0.0,0.000683,0.0,-0.1922
3.675e-06,0.0009155,1.67e-09,183.9,9.287000000000001e-14,1138.0,-0.01974,-13.17,-26.35,-6.577,-12.93,-19.34,-9.064,-11.15,-13.35,-13.13,-11.48,-10.04,-18.86,-14.53,-10.13,0.2617,0.3002,0.2967,1.377e-10,1.391e-10,1.391e-10,-0.03239,0.07136,0.0632,1.402e-10,1.41e-10,1.41e-10,2.0,2.0,6.914e-11,0.2685,6.709e-11,6.586e-11,6.969e-11,6.708e-11,0.03619,0.2799,-0.1666,6.97e-11,0.05141,0.2725,2.436e-11,0.04184,0.2861,0.1847,2.769e-11,0.03456,2.878e-11,2.883e-11,2.761e-11,-0.2406,2.757e-11,0.2856,0.0,0.03594,6.071e-12,9.39e-12,9.52e-12,0.0,-0.1188,0.0,0.06843,0.06833,8.173e-12,-0.1059
7.485999999999999e-06,0.001568,1.156e-09,671.8,9.161e-14,444.3,-0.0196,-25.48,-21.14,-6.594,-33.76,-27.53,-9.105,-39.24,-32.08,-13.17,-47.59,-44.25,-18.87,-57.55,-60.14,0.1406,0.2586,0.2357,9.991e-11,1.124e-10,1.123e-10,0.08604,0.1459,0.1382,1.021e-10,1.138e-10,1.137e-10,1.0,2.0,2.693e-11,0.08473,3.405e-11,2.447e-11,3.468e-11,3.403e-11,0.05213,0.13,0.02389,3.469e-11,0.05219,0.1199,0.0,0.0,0.0,-0.1474,0.0,0.0006373,1.804e-13,0.0,1.782e-12,-0.09243,0.0,0.0002445,0.0,0.0005933,2.502e-13,4.194e-13,0.0,0.0,-0.08008,0.0,0.0,0.0009205,0.0,-0.1386
4.865e-06,0.0005851,2.155e-09,1163.0,7.273e-13,783.4,-0.01967,-3.199,1.346,-6.585,-6.164,5.913,-9.092,-9.475,1.562,-13.17,-15.59,-7.436,-18.88,-24.98,-21.56,0.4044,0.4836,0.4754,1.133e-10,1.189e-10,1.188e-10,0.1738,0.1916,0.1914,9.532e-11,1.071e-10,1.071e-10,1.0,2.0,3.776e-11,0.2068,4.946e-11,4.981e-11,3.975e-11,4.813e-11,0.1556,0.3848,0.09129,4.121e-11,0.1677,0.3353,0.0,0.0,0.07928,-0.1899,0.0,0.001567,1.086e-11,1.268e-11,8.896e-13,-0.2143,9.524e-12,0.07782,0.0,0.00121,3.674e-13,1.316e-13,0.0,0.0,-0.2142,0.0,0.0,0.001057,0.0,-0.2895
7.386e-06,0.002258,9.83e-10,1106.0,1.258e-13,1318.0,-0.01961,-54.2,-52.95,-6.594,-39.4,-28.28,-9.105,-42.83,-33.22,-13.17,-49.86,-46.07,-18.87,-59.78,-62.12,0.04991,0.07178,0.07009,1.31e-10,1.343e-10,1.343e-10,-0.001047,8.002e-05,6.202e-05,1.894e-11,4.623e-11,4.585e-11,1.0,2.0,0.0,0.003364,6.136e-11,5.886e-11,3.208e-12,6.135e-11,5.114e-06,0.05257,-0.0009165,0.0,0.0,0.04739,0.0,0.0,0.01057,-0.02911,0.0,5.269e-06,2.274e-11,2.278e-11,3.1e-13,-0.0007249,1.907e-11,0.01033,0.0,1.608e-06,2.569e-13,8.129e-14,0.0,0.0,-0.0005289,0.0,0.0,8.48e-05,0.0,-0.02942
4.391e-06,0.0018759999999999,3.337e-10,1165.0,1.078e-13,144.4,-0.01967,-45.1,-34.03,-6.584,-48.04,-37.03,-9.085,-47.32,-36.62,-13.16,-49.25,-40.3,-18.88,-55.05,-50.43,-0.0105,0.2265,0.1843,8.976e-11,1.051e-10,1.051e-10,-0.0004327,0.003056,0.002378,8.216e-11,1.01e-10,1.008e-10,1.0,2.0,-5.01e-13,-0.05914,2.267e-11,7.859e-12,1.339e-11,2.264e-11,0.0002252,0.06275,-0.0009269,1.384e-11,0.0005745,0.06109,0.0,0.0,0.0,-0.1418,0.0,4.653e-06,2.288e-13,0.0,8.744e-14,-0.002635,0.0,0.0008731,0.0,7.504e-06,1.852e-13,1.15e-13,0.0,0.0,-0.002076,0.0,0.0,0.000673,0.0,-0.1429
