fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_maxHeight Vout_1 14G,eye_maxWidth Vout_2 14G,eye_height Vout_2 14G,eye_height_XY Vout_2 14G,eye_width_XY Vout_2 14G,eye_width Vout_1 14G,eye_height_XY Vout_1 14G,eye_width_XY Vout_1 14G,eye_maxWidth Vout_1 14G,eye_height Vout_1 14G,eye_width Vout_2 14G,eye_maxHeight Vout_2 14G,eye_maxWidth Vout_1 28G,eye_width Vout_2 28G,eye_maxWidth Vout_2 28G,eye_height_XY Vout_2 28G,eye_height Vout_1 28G,eye_width_XY Vout_2 28G,eye_width_XY Vout_1 28G,eye_maxHeight Vout_2 28G,eye_height_XY Vout_1 28G,eye_height Vout_2 28G,eye_maxHeight Vout_1 28G,eye_width Vout_1 28G,eye_height Vout_1 56G,eye_width_XY Vout_1 56G,eye_width Vout_2 56G,eye_height_XY Vout_2 56G,eye_maxWidth Vout_2 56G,eye_width_XY Vout_2 56G,eye_height Vout_2 56G,eye_maxHeight Vout_1 56G,eye_maxWidth Vout_1 56G,eye_maxHeight Vout_2 56G,eye_width Vout_1 56G,eye_height_XY Vout_1 56G
5.267e-06,0.001773,1.14e-11,791.5,3.779e-13,1442.0,-0.01965,-36.9,-38.66,-6.586,-41.16,-29.3,-9.091,-44.07,-33.2,-13.17,-49.28,-42.0,-18.88,-56.74,-54.71,0.2214,0.2002,0.1998,1.108e-10,1.205e-10,1.205e-10,0.0149,0.01311,0.01306,9.867e-11,1.115e-10,1.114e-10,1.0,2.0,0.2128,3.436e-11,-0.0004127,0.01401,3.429e-11,4.742e-11,0.1959,5.056e-11,5.058e-11,0.114,2.97e-11,0.01428,1.073e-11,0.0,0.0,0.0001263,-0.1285,4.283e-13,1.071e-11,0.0,0.01182,-0.02833,0.01213,5.931e-12,-0.153,1.359e-13,0.0,2.137e-05,0.0,9.375e-14,-0.01991,0.0,0.0,0.0,0.0,0.0003649
1.081e-06,0.00249,4.781e-10,212.7,9.545e-13,500.9,-0.01979,-21.74,-42.95,-6.582,-25.02,-43.52,-9.07,-27.43,-45.87,-13.13,-31.34,-49.66,-18.82,-36.5,-54.4,0.03024,0.08564,0.06826,1.19e-10,1.223e-10,1.22e-10,0.002456,0.005997,0.005014,1.196e-10,1.232e-10,1.226e-10,2.0,2.0,0.04853,5.045e-11,5.482e-05,0.003134,5.016e-11,4.121e-11,0.04022,4.623e-11,4.629e-11,-0.005241,4.57e-11,0.003951,0.0,7.365e-12,1.078e-11,0.0008306,-0.03189,9.786e-12,5.99e-12,0.0008832,0.004244,-0.001945,0.0,0.0,-0.04673,1.479e-13,0.0,4.665e-06,0.0,6.483e-14,-0.003341,0.0,0.0,0.0,0.0,0.0003028
1.746e-06,0.001277,3.042e-10,203.0,1.779e-15,572.8,-0.01975,-10.2,-20.4,-6.58,-16.75,-26.95,-9.069,-19.23,-29.42,-13.13,-23.22,-33.39,-18.81,-28.66,-38.72,0.03475,0.1758,0.1371,8.809e-11,1.04e-10,1.04e-10,0.01081,0.05497,0.04282,8.807e-11,1.04e-10,1.039e-10,2.0,2.0,0.0,0.0,-0.01993,0.01475,2.422e-11,0.0,0.04722,2.41e-11,0.0,-0.06411,0.0,0.0,0.0,0.0,0.0,0.000468,-0.1263,5.687e-13,7.615e-13,0.0,0.0006532,-0.03994,0.0,0.0,-0.1162,2.374e-13,0.0,0.0001868,0.0,6.261e-14,-0.03657,0.0,0.0,0.0,0.0,0.0002387
4.299e-06,0.001897,8.923999999999998e-10,1244.0,9.144e-13,1356.0,-0.01967,-52.0,-48.58,-6.583,-57.19,-43.68,-9.084,-56.54,-44.06,-13.16,-56.65,-46.95,-18.88,-59.33,-54.29,0.127,0.2049,0.1818,1.001e-10,1.059e-10,1.054e-10,0.000919,0.001493,0.001309,9.706e-11,1.018e-10,1.011e-10,1.0,2.0,0.1275,3.415e-11,0.0002144,0.0009301,3.371e-11,3.712e-11,0.1086,3.627e-11,3.656e-11,0.02225,3.565e-11,0.001016,0.0,0.0,0.0,1.953e-05,-0.1441,1.567e-12,1.862e-12,0.0,0.003759,-0.001074,0.0,0.0,-0.1627,1.662e-13,0.0,3.253e-06,0.0,4.786e-14,-0.001338,0.0,0.0,0.0,0.0,0.0002187
7.241999999999999e-06,0.0012569999999999,2.163e-09,977.2,2.1310000000000002e-13,1490.0,-0.0196,-36.35,-36.82,-6.593,-47.01,-34.6,-9.104,-50.55,-40.75,-13.17,-55.86,-51.53,-18.87,-62.43,-63.99,0.1602,0.2799,0.2794,1.296e-10,1.333e-10,1.333e-10,0.01108,0.01075,0.0107,1.217e-10,1.291e-10,1.291e-10,1.0,2.0,0.287,4.422e-11,-0.00313,0.01015,4.422e-11,4.691e-11,0.2855,5.331e-11,5.331e-11,0.1414,3.417e-11,0.01086,0.0,0.0,0.0,6.748e-05,-0.2407,2.409e-12,3.156e-12,0.0,0.001016,-0.01625,0.0,0.0,-0.2335,1.386e-13,0.0,6.583e-05,0.0,1.449e-13,-0.01187,0.0,0.0,0.0,0.0,0.001361
6.98e-06,0.001806,6.666000000000001e-10,124.2,3.8810000000000003e-13,18.91,-0.01963,0.919,1.809,-6.589,-6.005,-5.448,-9.098,-9.394,-9.674,-13.17,-15.61,-17.99,-18.88,-24.46,-29.96,-0.002969,0.2496,0.225,7.806e-11,9.625e-11,9.62e-11,-0.01402,0.2561,0.2435,7.54e-11,9.454e-11,9.452e-11,2.0,2.0,0.0,0.0,-0.2464,0.0005983,4.351e-13,0.0,0.00176,6.109e-13,0.0,-0.2168,0.0,0.0,0.0,0.0,0.0,0.0002033,-0.2335,5.494e-14,4.022e-14,0.0,0.000694,-0.2176,0.0,0.0,-0.1796,6.89e-14,0.0,0.0009686,0.0,3.241e-13,-0.1884,0.0,0.0,0.0,0.0,0.000262
5.778e-06,0.0005444,2.399e-09,602.0,4.857e-13,1327.0,-0.0197,-3.594,-7.157,-6.585,1.695,10.17,-9.101,-2.022,5.674,-13.18,-9.061,-4.095,-18.89,-18.92,-18.32,0.3591,0.3338,0.3333,1.01e-10,1.127e-10,1.126e-10,0.5407,0.1215,0.1199,7.417e-11,9.569e-11,9.566e-11,2.0,2.0,0.3356,1.685e-11,0.1055,0.1311,1.666e-11,4.186e-11,0.2951,4.438e-11,4.507e-11,0.2017,9.076e-12,0.1429,7.642e-12,0.0,0.0,0.002672,-0.221,4.646e-13,7.118e-12,0.0,0.03249,-0.2383,0.03255,4.479e-12,-0.2694,6.424e-14,0.0,0.009292,0.0,5.775e-13,-0.3565,0.0,0.0,0.0,0.0,0.001423
8.807e-06,0.001605,3.743e-10,1072.0,7.116000000000001e-13,248.2,-0.01956,-44.83,-34.43,-6.6,-56.29,-44.68,-9.111,-58.76,-51.83,-13.17,-62.46,-61.23,-18.87,-68.0,-72.76,0.292,0.4642,0.4351,1.207e-10,1.269e-10,1.269e-10,-0.000716,0.002835,0.002832,7.841e-11,9.664e-11,9.661e-11,1.0,2.0,0.09287,1.247e-12,-0.00287,3.455e-05,1.363e-12,2.19e-11,0.09281,3.368e-11,3.376e-11,-0.1287,-3.418e-11,5.397e-05,0.0,0.0,0.0,4.582e-06,-0.1986,1.832e-13,3.089e-13,0.0,0.002818,-0.002488,0.0,0.0,-0.1878,5.606e-13,0.0,3.98e-06,0.0,1.245e-13,-0.002201,0.0,0.0,0.0,0.0,0.001297
6.658999999999999e-06,0.0012569999999999,1.304e-09,994.9,7.886000000000001e-13,1036.0,-0.01962,-34.87,-31.98,-6.591,-40.23,-27.33,-9.101,-43.82,-33.86,-13.17,-50.27,-45.11,-18.88,-58.88,-59.39,0.3319,0.3752,0.3738,1.006e-10,1.061e-10,1.057e-10,-0.002888,0.01543,0.01535,7.725e-11,9.207e-11,9.205e-11,1.0,2.0,0.2703,2.443e-11,-0.01469,0.005263,2.274e-11,3.701e-11,0.2696,3.572e-11,3.825e-11,0.1517,2.202e-11,0.005296,0.0,0.0,0.0,5.459e-05,-0.3022,6.782e-13,7.219e-14,0.0,0.0004783,-0.0282,0.0,0.0,-0.2721,2.628e-13,0.0,8.535e-05,0.0,4.765e-13,-0.02088,0.0,0.0,0.0,0.0,0.0009573
2.557e-06,0.0007127999999999,2.011e-09,1298.0,2.207e-13,472.0,-0.01971,-15.64,-9.352,-6.58,-21.25,-11.47,-9.073,-23.63,-12.99,-13.14,-27.92,-17.51,-18.84,-34.44,-25.73,0.2907,0.3948,0.3728,1.331e-10,1.359e-10,1.359e-10,0.0622,0.07355,0.07347,1.37e-10,1.386e-10,1.386e-10,1.0,2.0,0.3549,6.762e-11,0.05382,0.06504,6.762e-11,6.285e-11,0.3107,6.375e-11,6.376e-11,0.221,6.681e-11,0.07224,2.801e-11,3.051e-11,3.142e-11,0.04606,0.03856,3.138e-11,2.784e-11,0.05118,0.2142,0.005292,0.2477,2.661e-11,-0.1136,6.833e-12,6.83e-12,0.01134,9.238e-12,9.076e-12,-0.02509,0.04828,7.086e-12,0.01135,4.866e-12,0.04779
