fW,current,ind,Rd,Cs,Rs,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,eye_height Vout_1 7G,eye_maxHeight Vout_1 7G,eye_height_XY Vout_1 7G,eye_width Vout_1 7G,eye_maxWidth Vout_1 7G,eye_width_XY Vout_1 7G,eye_height Vout_2 7G,eye_maxHeight Vout_2 7G,eye_height_XY Vout_2 7G,eye_width Vout_2 7G,eye_maxWidth Vout_2 7G,eye_width_XY Vout_2 7G,Stage 1 Region,Stage 2 Region,eye_height_XY Vout_2 14G,eye_height Vout_2 14G,eye_height_XY Vout_1 14G,eye_maxHeight Vout_2 14G,eye_width Vout_1 14G,eye_maxWidth Vout_2 14G,eye_width_XY Vout_1 14G,eye_maxHeight Vout_1 14G,eye_height Vout_1 14G,eye_width_XY Vout_2 14G,eye_width Vout_2 14G,eye_maxWidth Vout_1 14G,eye_maxHeight Vout_1 28G,eye_height_XY Vout_2 28G,eye_height Vout_2 28G,eye_width_XY Vout_2 28G,eye_maxWidth Vout_1 28G,eye_maxHeight Vout_2 28G,eye_width_XY Vout_1 28G,eye_height Vout_1 28G,eye_width Vout_2 28G,eye_width Vout_1 28G,eye_maxWidth Vout_2 28G,eye_height_XY Vout_1 28G,eye_width Vout_1 56G,eye_height_XY Vout_2 56G,eye_width Vout_2 56G,eye_maxWidth Vout_1 56G,eye_maxHeight Vout_2 56G,eye_maxWidth Vout_2 56G,eye_height Vout_2 56G,eye_height_XY Vout_1 56G,eye_width_XY Vout_2 56G,eye_maxHeight Vout_1 56G,eye_width_XY Vout_1 56G,eye_height Vout_1 56G
5.497e-06,0.001589,3.326e-10,318.3,6.723e-13,920.5,-0.0197,-6.19,-12.04,-6.583,-0.649,6.088,-9.099,-4.067,2.094,-13.18,-11.03,-7.464,-18.89,-21.29,-22.27,0.285,0.324,0.323,1.15e-10,1.19e-10,1.18e-10,0.207,0.102,0.0986,9.03e-11,6.71e-12,1.05e-10,2.0,2.0,0.1141,-0.1841,0.2765,0.1214,4.744e-11,2.495e-11,4.823e-11,0.2802,0.1555,2.479e-11,1.316e-11,4.96e-11,0.0,0.005228,-0.4603,2.721e-13,0.0,0.0,3.197e-12,-0.2513,0.0,0.0,0.0,0.001853,0.0,0.001966,0.0,0.0,0.0,0.0,-0.41,5.049e-05,1.764e-13,0.0,5.988e-15,-0.201
1.072e-06,0.0017829999999999,1.845e-09,142.9,2.555e-13,264.9,-0.0198,-30.91,-66.0,-6.58,-36.85,-71.38,-9.068,-38.43,-72.01,-13.13,-40.14,-71.14,-18.81,-40.96,-66.4,0.0166,0.0565,0.044,8.97e-11,1.07e-10,1.07e-10,0.00304,0.00598,0.00398,1.05e-10,1.15e-10,1.15e-10,2.0,2.0,0.003221,0.001847,0.01917,0.003826,0.0,4.457e-11,2.939e-11,0.0,0.007835,4.456e-11,4e-11,0.0,0.0,0.00207,0.001289,1.342e-11,0.0,0.002481,1.792e-12,-0.01344,9.964e-12,0.0,1.361e-11,0.0008087,0.0,0.003203,4.143e-12,0.0,0.003364,6.104e-12,-0.000173,0.000118,6.047e-12,0.0,2.841e-13,-0.03308
2.026e-06,0.001564,2.341e-09,700.2,2.7450000000000004e-13,994.7,-0.0197,-18.74,-20.9,-6.58,-21.08,-15.23,-9.071,-23.39,-16.85,-13.13,-27.44,-20.57,-18.83,-33.33,-26.02,0.314,0.314,0.314,1.38e-10,1.39e-10,1.39e-10,0.153,0.158,0.158,1.33e-10,1.36e-10,1.36e-10,1.0,2.0,0.1585,0.1265,0.2888,0.159,6.756e-11,6.086e-11,6.833e-11,0.32,0.1962,6.082e-11,5.682e-11,6.833e-11,0.2198,0.137,0.07739,2.576e-11,2.995e-11,0.1602,2.994e-11,0.02735,2.454e-11,2.891e-11,2.58e-11,0.1941,6.068e-12,0.05274,5.816e-12,8.342e-12,0.06013,7.072e-12,-0.04262,0.05309,7.022e-12,0.05388,8.314e-12,-0.08019
3.184e-06,0.001718,2.551e-09,236.4,9.018000000000001e-13,335.1,-0.0197,-4.21,-8.295,-6.579,-4.851,-2.987,-9.073,-6.492,-3.782,-13.14,-8.71,-4.162,-18.87,-12.33,-4.882,0.279,0.457,0.415,1.32e-10,1.34e-10,1.34e-10,0.341,0.313,0.313,1.33e-10,1.36e-10,1.36e-10,2.0,2.0,0.3256,0.295,0.2973,0.326,5.379e-11,6.514e-11,5.783e-11,0.3397,0.1436,6.495e-11,6.444e-11,5.786e-11,0.1042,0.3303,0.2175,2.959e-11,1.609e-11,0.3305,1.605e-11,-0.04671,2.817e-11,1.074e-11,2.959e-11,0.1035,0.0,0.1193,9.784e-12,0.0,0.1202,1.072e-11,0.02319,0.0008605,1.056e-11,0.0,1.712e-13,-0.208
2.0670000000000003e-06,0.0005372999999999,2.8650000000000003e-09,1483.0,3.634e-13,88.5,-0.0197,-5.992,3.667,-6.58,-12.5,-2.6,-9.072,-14.96,-4.83,-13.13,-19.19,-9.143,-18.83,-25.58,-16.57,0.0116,0.338,0.256,9.65e-11,1.1e-10,1.1e-10,-0.0312,0.0942,0.07,9.78e-11,1.11e-10,1.11e-10,1.0,2.0,0.03119,-0.03867,0.1151,0.0,0.0,0.0,3.44e-11,0.0,-0.02742,3.551e-11,0.0,0.0,0.0,0.003893,-0.05467,2.382e-12,0.0,0.0,2.277e-12,-0.1073,0.0,0.0,0.0,0.01189,0.0,0.0002156,0.0,0.0,0.0,0.0,-0.05015,0.001488,1.514e-13,0.0,2.357e-13,-0.1262
7.621999999999999e-06,0.001248,2.28e-09,1379.0,1.1120000000000001e-13,152.4,-0.0196,-45.21,-32.36,-6.595,-45.41,-34.14,-9.107,-45.5,-37.15,-13.17,-49.98,-46.52,-18.87,-58.74,-61.07,0.11,0.439,0.384,8.18e-11,9.92e-11,9.91e-11,0.00257,0.0039,0.00306,6.87e-11,8.76e-11,8.75e-11,1.0,2.0,2.733e-05,-0.003338,0.02493,0.0001307,-1.24e-11,2.293e-12,7.36e-12,0.03138,-0.1408,4.205e-13,-1.9e-11,7.622e-12,0.0,1.862e-05,-0.003699,1.61e-13,0.0,0.0,1.902e-13,-0.3257,0.0,0.0,0.0,0.0005362,0.0,1.424e-05,0.0,0.0,0.0,0.0,-0.003561,0.0009303,2.579e-13,0.0,1.062e-13,-0.2464
2.943e-06,0.00142,1.74e-09,1455.0,2.131e-14,1089.0,-0.0197,-44.73,-41.15,-6.581,-39.32,-35.01,-9.076,-37.5,-31.68,-13.14,-39.27,-31.03,-18.85,-44.79,-36.55,-0.0154,0.152,0.104,1.22e-10,1.28e-10,1.28e-10,-0.000402,0.00101,0.000714,5.12e-11,7.73e-11,7.69e-11,1.0,2.0,5.418e-06,-0.001924,0.05052,0.0,5.209e-11,0.0,5.477e-11,0.07952,-0.001872,3.422e-12,0.0,5.48e-11,0.05567,1.2e-05,-0.003744,4.801e-13,2.22e-11,0.0,2.199e-11,0.04539,0.0,2.204e-11,0.0,0.05379,9.411e-12,1.09e-05,0.0,1.012e-11,0.0,0.0,-0.004012,0.06111,2.641e-13,0.06142,1.008e-11,0.0486
5.463e-06,0.001355,1.342e-09,1353.0,3.318000000000001e-13,687.2,-0.0196,-45.54,-39.03,-6.586,-54.33,-40.68,-9.093,-55.28,-43.17,-13.17,-56.99,-49.06,-18.88,-61.12,-58.69,0.432,0.454,0.453,1.4e-10,1.4e-10,1.4e-10,0.000983,0.0029,0.00241,1.18e-10,1.25e-10,1.25e-10,1.0,2.0,0.00137,0.0002378,0.4577,0.001613,6.57e-11,4.357e-11,6.708e-11,0.4587,0.3724,4.354e-11,3.49e-11,6.719e-11,0.1861,2.289e-06,-0.002139,2.143e-13,2.486e-11,0.0,2.486e-11,-0.08154,0.0,2.073e-11,0.0,0.1817,0.0,5.212e-06,0.0,0.0,0.0,0.0,-0.001456,0.002012,8.273e-14,0.0,2.437e-13,-0.2186
7.022e-06,0.001297,2.2360000000000006e-09,792.4,5.225e-13,753.3,-0.0196,-26.09,-23.53,-6.592,-30.97,-18.88,-9.103,-34.84,-25.58,-13.17,-42.02,-37.66,-18.88,-52.16,-53.36,0.442,0.444,0.443,1.21e-10,1.26e-10,1.26e-10,-0.0203,0.105,0.104,1.03e-10,1.14e-10,1.14e-10,1.0,2.0,0.05423,-0.05546,0.3926,0.05439,5.295e-11,3.54e-11,5.52e-11,0.3949,0.2432,3.538e-11,2.76e-11,5.537e-11,0.0,0.0005709,-0.1817,2.606e-13,0.0,0.0,3.547e-12,-0.3193,0.0,0.0,0.0,0.002516,0.0,0.0002503,0.0,0.0,0.0,0.0,-0.1297,0.0008311,1.541e-13,0.0,8.812e-14,-0.2499
3.563e-06,0.002423,4.585e-11,969.5,6.961e-13,724.5,-0.0197,-45.9,-42.31,-6.582,-52.59,-40.85,-9.079,-53.72,-42.33,-13.15,-55.0,-45.25,-18.86,-57.52,-51.39,0.0579,0.125,0.104,1.19e-10,1.23e-10,1.23e-10,0.0011,0.00251,0.00203,1.13e-10,1.16e-10,1.16e-10,1.0,2.0,0.001255,3.298e-06,0.06088,0.001437,4.716e-11,4.517e-11,4.823e-11,0.07263,-0.009354,4.471e-11,4.695e-11,4.859e-11,0.0,9.306e-05,-0.001269,3.715e-12,0.0,0.0,7.343e-12,-0.05898,0.0,0.0,0.0,0.005393,0.0,7.317e-06,0.0,0.0,0.0,0.0,-0.00141,0.0002203,3.154e-13,0.0,1.454e-13,-0.06616
