test_id,success,mse_error,mae_error,max_error,optimization_iterations,optimization_function_calls,eye_metrics_sum,eye_metrics_avg,eye_metrics_min,eye_metrics_max,desired_stage 1 3.5G attenuation,desired_stage 2 3.5G attenuation,desired_stage 1 7G attenuation,desired_stage 2 7G attenuation,desired_stage 1 14G attenuation,desired_stage 2 14G attenuation,desired_stage 1 28G attenuation,desired_stage 2 28G attenuation,predicted_stage 1 3.5G attenuation,predicted_stage 2 3.5G attenuation,predicted_stage 1 7G attenuation,predicted_stage 2 7G attenuation,predicted_stage 1 14G attenuation,predicted_stage 2 14G attenuation,predicted_stage 1 28G attenuation,predicted_stage 2 28G attenuation,fW,current,ind,Rd,Cs,Rs,constant_channel 0.1G attenuation,constant_channel 3.5G attenuation,constant_channel 7G attenuation,constant_channel 14G attenuation,constant_channel 28G attenuation,constant_Stage 1 Region,constant_stage 1 0.1G attenuation,constant_stage 2 0.1G attenuation,constant_Hard Constraint of neg2 on 0.1G Status,failure_reason,test_type,predicted_eye_maxHeight Vout_1 7G,predicted_eye_maxWidth Vout_1 7G,predicted_eye_maxHeight Vout_2 7G,predicted_eye_maxWidth Vout_2 7G,predicted_eye_maxHeight Vout_1 14G,predicted_eye_maxWidth Vout_1 14G,predicted_eye_maxHeight Vout_2 14G,predicted_eye_maxWidth Vout_2 14G,predicted_eye_maxHeight Vout_1 28G,predicted_eye_maxWidth Vout_1 28G,predicted_eye_maxHeight Vout_2 28G,predicted_eye_maxWidth Vout_2 28G,predicted_eye_maxHeight Vout_1 56G,predicted_eye_maxWidth Vout_1 56G,predicted_eye_maxHeight Vout_2 56G,predicted_eye_maxWidth Vout_2 56G
1,True,490.43296426157457,19.204741173572636,35.55838357996013,0.0,7.0,-1.609421365505183,-0.10058883534407394,-0.6352120962525419,0.030119375404219894,-21.22714679623823,-7.731418800960533,-16.017201107004833,-19.47498952931825,-35.80933931771615,-35.8099871837696,-17.764543074507756,-2.5239178906847215,-0.4151028841757989,-0.14139646512091342,-0.4412518137590061,-0.20075661357555546,-0.4480809234987692,-0.2516036038094677,-0.47085967085423514,-0.35156233682522214,6.248413091410325e-06,0.0019235065908215184,3.3287564237603584e-12,1603.4607646347986,9.081174675796875e-13,315.7204958030851,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
2,True,338.83971396285006,17.326023261733162,24.726780117375323,2.0,455.0,-2.1837055913558583,-0.13648159945974114,-1.0203605093651804,0.5089748484269632,-22.950509550486913,-24.21307070995842,-10.977350942510398,-11.878048035142747,-21.647186227071852,-24.773478045838804,-8.544223498616422,-14.891406453289596,-0.2506479515620533,-0.03835467380997052,-0.27446888488466487,-0.05403486481879195,-0.26762955241189834,-0.046697928463479796,-0.26094004422242845,-0.07431346887658653,4.854644477117293e-07,0.0023859682222735195,3.0075146537448624e-09,749.7530665136616,6.394035950502055e-13,1292.232240089712,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
3,False,,,,,,,,,,-6.947274284741223,-22.190484493138776,-17.528895767455257,-29.907007310375736,-30.479567959742106,-18.152990497529856,-14.185557420777616,-10.210590407742407,,,,,,,,,,,,,,,,,,,,,,,,Inequality constraints incompatible,,,,,,,,,,,,,,,,,
4,True,568.7255613329128,22.165032405310647,35.67151766599513,0.0,7.0,0.18807661078021742,0.011754788173763589,-0.6071830262597979,0.7731069520012259,-17.025039429968764,-20.718685585739195,-33.75192840668087,-21.36773347317905,-35.889383692532626,-26.569727075697024,-14.030203334553455,-8.61726304258103,-0.15967856651970988,0.1641543040081687,-0.19095698053072074,0.11345876232859167,-0.21786602653749274,0.023779802024148457,-0.256114942088042,-0.1264811511317516,6.4123867224225175e-06,0.0008311495492384665,3.1742658983136317e-10,663.5511811652758,8.918387312834416e-13,1137.6479818514583,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
5,True,385.63035605777674,16.21035350970523,36.0590399609054,2.0,602.0,1.755824593588521,0.10973903709928257,-0.6719727394262338,1.0201523501925203,-8.275623343928128,-9.565158906052943,-19.838757207779523,-11.526221884820774,-31.489877137816737,-36.02450240902601,-2.649186831693118,-10.680399767073242,-0.10207830097685658,0.16753401712193391,-0.14234313798423925,0.13458960985388307,-0.167483470737495,0.03453755187938686,-0.20740895494025732,-0.08424672476502577,6.297201028028671e-06,0.0014363169186069464,1.0952629783426618e-09,381.5056585756577,6.944744006454591e-13,449.5260861187007,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
6,False,,,,,,,,,,-8.471709148167761,-14.957852462983533,-15.45398074643326,-31.387155305391772,-37.65459694099934,-18.83426472113983,-12.708793327529541,-8.65546088696325,,,,,,,,,,,,,,,,,,,,,,,,Inequality constraints incompatible,,,,,,,,,,,,,,,,,
7,True,544.7265842177549,21.970357520402704,36.45135942406393,0.0,7.0,2.2733260849295243,0.14208288030809527,-0.46005192545680446,1.3830725534912771,-28.921581806169716,-21.32781422962432,-28.7159603691454,-18.701628029178778,-13.405643787677018,-36.492404996921884,-15.586108379282196,-13.98819687253844,-0.29087389608150965,0.04051316661327783,-0.30995046593959336,0.0001750439019977449,-0.3059335535060067,-0.04104557285795284,-0.33430085916121494,-0.13506217028512493,4.782654931541238e-06,0.0006233678407946805,1.0861992481104597e-09,876.8804059839911,1.099899e-12,425.3972529114534,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
8,True,550.8331354913195,21.714017064734463,32.40117907692969,2.0,287.0,-2.810783224968881,-0.17567395156055507,-1.1227598949105702,0.27055671708328516,-25.291892768128697,-22.29335361335362,-27.310873572915096,-32.579577975288245,-31.053503096312223,-20.5205171871629,-6.556438649665276,-9.338527205718629,-0.11440673547866867,-0.2190794647290633,-0.09209152755292299,-0.17839889835855577,-0.13740249508861116,-0.17776858832174403,-0.13713359363725508,-0.1762662475021443,1.0558192409824657e-05,0.0019060388145374914,2.913376988925417e-09,53.43503458234498,9.037683153867983e-15,534.0368018794782,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
9,False,,,,,,,,,,-12.848104248483281,-16.714731691093924,-27.18836085933353,-14.757142993587543,-26.627096896287753,-36.80607238767508,-11.531767400315069,-11.417036970428004,,,,,,,,,,,,,,,,,,,,,,,,Inequality constraints incompatible,,,,,,,,,,,,,,,,,
10,True,637.1429489128222,23.77849993616475,38.29595569418552,0.0,7.0,-2.2062264519814594,-0.1378891532488412,-1.1874044354959907,0.7957587448546164,-28.03855976257504,-22.18828211126436,-12.714327462616115,-32.25922329967018,-25.61270841757569,-38.289298156508124,-13.261699846283129,-18.817654833572593,-0.19633645522951457,0.03048989266611799,-0.23188836503253848,0.01933664491147644,-0.23431877296841946,0.006657537677400637,-0.26568223250268047,-0.08201265026906218,5.013605093780977e-06,0.0024268177893060627,2.009483958617441e-09,441.12446902585765,3.9007892336715317e-13,94.38402763471228,-0.01968,-6.584,-9.09,-13.17,-18.87,0.0,-21.675,-24.605,0.0,,,,,,,,,,,,,,,,,,
